Character,Radical,CharFreq,Radicals,ChatGPT_Token_IDs
缘,纟,117.042,"['糸', '纟']","[163, 120, 246]"
内,冂,521.6,['冂'],"[37863, 227]"
秉,禾,2.7309,['禾'],"[163, 100, 231]"
痛,疒,446.3704,['疒'],"[163, 245, 249]"
错,钅,798.3111,"['钅', '金']","[165, 242, 247]"
矮,矢,21.4272,['矢'],"[163, 253, 106]"
粗,米,55.0815,['米'],"[163, 110, 245]"
问,门,1053.9802,"['門', '门']","[29785, 106]"
换,扌,348.558,"['扌', '手']","[162, 235, 95]"
撞,扌,80.0741,"['扌', '手']","[162, 240, 252]"
卵,卩,7.6444,['卩'],"[39355, 113]"
毒,母,153.9605,"['毋', '母']","[162, 107, 240]"
国,囗,1661.2593,"['囗', '口']","[32368, 121]"
默,黑,134.6667,"['黑', '黒']","[165, 119, 246]"
蹿,足,1.3481,['足'],"[164, 117, 123]"
转,车,591.0963,"['车', '車']","[164, 121, 105]"
隐,阝,79.5358,"['邑', '阜', '阝']","[49694, 238]"
算,⺮,510.2074,"['⺮', '竹']","[163, 106, 245]"
但,亻,1326.7605,"['人', '亻']","[19526, 228]"
幼,幺,51.0667,['幺'],"[33176, 120]"
小,小,2825.2741,['小'],"[22887, 237]"
滚,氵,115.3136,"['氺', '水', '氵']","[162, 119, 248]"
民,氏,368.5778,['氏'],"[36365, 239]"
成,戈,2464.4938,['戈'],"[22755, 238]"
盔,皿,5.8469,['皿'],"[33566, 242]"
苯,艹,1.7975,['艹'],"[164, 233, 107]"
爽,爻,180.4395,['爻'],"[163, 230, 121]"
姑,女,107.9605,['女'],"[34650, 239]"
折,扌,154.8296,"['扌', '手']","[162, 232, 246]"
亵,亠,2.4741,['亠'],"[12859, 113]"
传,亻,554.637,"['人', '亻']","[27670, 254]"
解,角,559.3086,['角'],"[164, 100, 96]"
散,攵,113.2741,"['攴', '攵']","[46763, 96]"
方,方,1010.4889,['方'],[43095]
混,氵,146.3556,"['氺', '水', '氵']","[162, 115, 115]"
梦,木,507.4716,['木'],"[162, 95, 99]"
团,囗,248.1728,"['囗', '口']","[32368, 95]"
求,水,581.1506,"['氺', '水', '氵']","[162, 109, 224]"
海,氵,619.8173,"['氺', '水', '氵']","[38184, 115]"
余,人,76.0198,"['人', '亻']","[19526, 247]"
放,攵,1139.7531,"['攴', '攵']","[162, 242, 122]"
喏,口,1.8568,"['囗', '口']","[161, 244, 237]"
通,辶,590.5877,['辶'],"[34460, 248]"
训,讠,164.642,"['讠', '言']","[164, 106, 255]"
概,木,74.9827,['木'],"[162, 99, 224]"
牧,牜,23.0568,"['牜', '牛']","[31965, 100]"
柜,木,59.1012,['木'],"[162, 253, 250]"
鸿,鸟,22.2914,"['鳥', '鸟']","[165, 116, 123]"
滑,氵,80.237,"['氺', '水', '氵']","[162, 119, 239]"
懊,忄,3.4321,"['心', '忄']","[162, 229, 232]"
稠,禾,4.0099,['禾'],"[163, 101, 254]"
贝,贝,247.3975,"['貝', '贝']","[164, 112, 251]"
耐,而,82.1926,['而'],"[32003, 238]"
迂,辶,2.242,['辶'],"[32573, 224]"
舵,舟,1.7679,['舟'],"[48958, 113]"
益,皿,70.4395,['皿'],"[33566, 232]"
载,车,585.1506,"['车', '車']","[164, 121, 121]"
出,凵,2396.4988,['凵'],"[49035, 118]"
到,刂,5288.1432,"['刂', '刀']","[26344, 108]"
近,辶,398.1037,['辶'],"[32573, 239]"
雍,隹,4.4494,['隹'],"[37239, 235]"
宝,宀,613.9556,['宀'],"[22522, 251]"
爱,爫,2633.6889,['爫'],"[163, 230, 109]"
仰,亻,37.0617,"['人', '亻']","[20015, 108]"
远,辶,508.1185,['辶'],"[32573, 250]"
让,讠,1628.2815,"['讠', '言']","[164, 106, 102]"
搜,扌,69.358,"['扌', '手']","[162, 238, 250]"
光,儿,601.8074,['儿'],[46268]
择,扌,196.3605,"['扌', '手']","[162, 233, 102]"
血,血,303.7531,['血'],"[26193, 222]"
借,亻,88.2617,"['人', '亻']","[161, 222, 253]"
没,氵,3800.0543,"['氺', '水', '氵']","[162, 110, 94]"
现,王,2251.4667,"['王', '玉']","[163, 236, 108]"
消,氵,373.8469,"['氺', '水', '氵']","[162, 114, 230]"
真,目,2691.684,['目'],"[40367, 253]"
澪,氵,0.2765,"['氺', '水', '氵']","[162, 122, 103]"
牡,牜,5.9951,"['牜', '牛']","[31965, 94]"
大,大,5363.1802,['大'],[32014]
胡,月,115.3037,['月'],"[47797, 94]"
遮,辶,20.0049,['辶'],"[34402, 106]"
划,刂,144.8642,"['刂', '刀']","[161, 7134]"
宅,宀,98.1827,['宀'],"[22522, 227]"
世,一,830.6074,['一'],"[10310, 244]"
牢,牛,34.558,"['牜', '牛']","[31965, 95]"
豪,豕,79.042,['豕'],"[164, 109, 103]"
瓢,瓜,2.3358,['瓜'],"[163, 241, 95]"
雄,隹,192.9877,['隹'],"[37239, 226]"
周,口,612.7457,"['囗', '口']","[37772, 101]"
受,又,720.5877,['又'],"[20998, 245]"
沉,氵,135.6049,"['氺', '水', '氵']","[162, 110, 231]"
前,刀,1263.0123,"['刂', '刀']","[30298, 235]"
舞,夕,270.5975,['夕'],"[48958, 252]"
枯,木,20.4593,['木'],"[162, 252, 107]"
电,田,1172.8642,['田'],"[18796, 113]"
霸,雨,81.3086,['雨'],"[165, 250, 116]"
掉,扌,321.9654,"['扌', '手']","[162, 236, 231]"
效,攵,159.3383,"['攴', '攵']","[46763, 230]"
侣,亻,48.7605,"['人', '亻']","[160, 122, 96]"
授,扌,42.3605,"['扌', '手']","[162, 236, 230]"
砧,石,0.4543,['石'],"[163, 254, 100]"
思,心,539.5605,"['心', '忄']","[45250, 251]"
甲,田,94.2519,['田'],"[18796, 110]"
清,氵,578.7605,"['氺', '水', '氵']","[162, 116, 227]"
天,大,5558.4494,['大'],[25465]
勘,力,1.9654,['力'],"[47947, 246]"
作,亻,1034.6519,"['人', '亻']",[43291]
怀,忄,210.1679,"['心', '忄']","[45250, 222]"
凝,冫,22.2765,['冫'],"[49035, 251]"
烹,灬,7.1457,"['火', '灬']","[163, 225, 117]"
照,灬,530.3605,"['火', '灬']","[163, 227, 100]"
上,一,4716.721,['一'],[41468]
一,一,14863.7877,['一'],[31660]
群,羊,162.6667,['羊'],"[163, 122, 97]"
盘,皿,210.0198,['皿'],"[33566, 246]"
老,耂,1653.3827,['耂'],"[32003, 223]"
脑,月,327.8074,['月'],"[164, 226, 239]"
对,寸,2376.2617,['寸'],"[43380, 117]"
草,艹,187.3975,['艹'],"[164, 235, 231]"
橘,木,17.5506,['木'],"[43897, 246]"
繁,纟,34.5037,"['糸', '纟']","[163, 117, 223]"
宽,宀,70.9235,['宀'],"[22522, 121]"
预,页,180.484,"['頁', '页']","[165, 95, 226]"
药,艹,180.1333,['艹'],"[164, 235, 107]"
冒,冂,161.6938,['冂'],"[161, 10253]"
齿,齿,31.9654,"['齿', '齒']","[165, 121, 123]"
建,廴,256.8,['廴'],"[161, 119, 118]"
精,米,531.1704,['米'],"[163, 39333]"
盛,皿,94.8049,['皿'],"[33566, 249]"
热,灬,445.7235,"['火', '灬']","[163, 225, 255]"
后,口,2222.0988,"['囗', '口']","[28938, 236]"
粑,米,7.1654,['米'],"[163, 110, 239]"
疑,疋,112.9037,['疋'],"[163, 244, 239]"
至,至,537.9951,['至'],"[164, 229, 111]"
告,口,684.479,"['囗', '口']","[37772, 232]"
缆,纟,3.1457,"['糸', '纟']","[163, 120, 228]"
心,心,3688.8741,"['心', '忄']","[33232, 225]"
今,人,2166.8247,"['人', '亻']","[20015, 232]"
汗,氵,54.6321,"['氺', '水', '氵']","[162, 109, 245]"
情,忄,2301.6296,"['心', '忄']","[46349, 227]"
义,丶,177.5506,['丶'],"[20046, 231]"
抿,扌,1.116,"['扌', '手']","[162, 232, 123]"
共,八,169.3284,"['丷', '八']","[17739, 109]"
价,亻,394.3407,"['人', '亻']","[20015, 115]"
整,攵,362.7111,"['攴', '攵']","[46763, 112]"
曾,曰,238.7852,['曰'],"[162, 249, 122]"
关,丷,976.716,"['丷', '八']","[17739, 111]"
争,刀,183.7185,"['刂', '刀']","[12859, 231]"
特,牛,781.3284,"['牜', '牛']","[31965, 117]"
收,攵,700.8346,"['攴', '攵']","[162, 242, 114]"
邋,辶,5.4667,['辶'],"[165, 224, 233]"
早,日,1144.4889,['日'],"[33768, 102]"
花,艹,836.6864,['艹'],"[164, 46788]"
向,口,423.8025,"['囗', '口']","[28938, 239]"
绿,纟,107.5951,"['糸', '纟']","[163, 119, 123]"
嫌,女,46.6568,['女'],"[161, 104, 234]"
逾,辶,3.442,['辶'],"[34460, 122]"
病,疒,287.3926,['疒'],"[163, 245, 227]"
橡,木,11.9407,['木'],"[43897, 94]"
咆,口,4.2469,"['囗', '口']","[161, 240, 228]"
琼,王,9.8914,"['王', '玉']","[49426, 120]"
二,二,696.5136,['二'],"[12859, 234]"
鲨,魚,9.8617,"['鱼', '魚']","[165, 110, 101]"
飘,风,63.8173,"['风', '風']","[45617, 246]"
俊,亻,28.2667,"['人', '亻']","[46479, 232]"
冰,冫,184.1975,['冫'],"[37863, 108]"
审,宀,52.2716,['宀'],"[22522, 94]"
政,攵,139.0222,"['攴', '攵']","[162, 242, 123]"
高,高,983.9704,['高'],"[165, 45865]"
浮,氵,80.1827,"['氺', '水', '氵']","[38184, 106]"
握,扌,67.9309,"['扌', '手']","[162, 237, 94]"
探,扌,148.5235,"['扌', '手']","[162, 236, 95]"
七,一,274.716,['一'],"[10310, 225]"
力,力,1358.479,['力'],"[27950, 249]"
豆,豆,179.1901,['豆'],"[164, 109, 228]"
肤,月,154.4691,['月'],"[164, 224, 97]"
布,巾,287.8025,['巾'],"[30585, 225]"
生,生,3215.2988,['生'],[37955]
彩,彡,443.0321,['彡'],"[37605, 102]"
实,宀,1113.1802,['宀'],"[22522, 252]"
稀,禾,39.1309,['禾'],"[163, 101, 222]"
嚏,口,6.8296,"['囗', '口']","[161, 248, 237]"
褶,衤,4.7506,"['衣', '衤']","[164, 97, 114]"
供,亻,77.4963,"['人', '亻']","[160, 122, 249]"
从,人,960.2074,"['人', '亻']","[20015, 236]"
刻,刂,308.716,"['刂', '刀']","[26344, 119]"
更,曰,1248.0346,['曰'],"[162, 249, 112]"
侧,亻,34.6765,"['人', '亻']","[160, 122, 100]"
纺,纟,6.8741,"['糸', '纟']","[163, 118, 118]"
评,讠,259.8469,"['讠', '言']","[46237, 226]"
品,口,632.2123,"['囗', '口']","[161, 241, 223]"
原,厂,728.1926,['厂'],"[43889, 253]"
秃,禾,5.2741,['禾'],"[163, 100, 225]"
号,口,436.8296,"['囗', '口']","[20998, 115]"
赐,贝,29.1852,"['貝', '贝']","[164, 113, 238]"
痕,疒,38.7901,['疒'],"[163, 245, 243]"
轻,车,313.3975,"['车', '車']","[164, 121, 119]"
新,斤,3202.6765,['斤'],"[23877, 108]"
螺,虫,14.5136,['虫'],"[164, 252, 118]"
骄,马,37.2988,"['馬', '马']","[165, 103, 226]"
笔,⺮,133.9556,"['⺮', '竹']","[163, 105, 242]"
批,扌,58.9975,"['扌', '手']","[33699, 117]"
冥,冖,9.6346,['冖'],"[37863, 98]"
博,十,2243.5852,['十'],"[39355, 248]"
灾,火,29.3481,"['火', '灬']","[163, 223, 122]"
御,彳,18.879,['彳'],"[36181, 94]"
反,又,437.921,['又'],"[20998, 235]"
架,木,130.2519,['木'],"[162, 252, 114]"
司,口,281.7086,"['囗', '口']","[20998, 116]"
取,又,952.6617,['又'],"[20998, 244]"
手,手,1853.4568,"['扌', '手']","[33699, 233]"
衰,衣,40.4247,"['衣', '衤']","[26193, 108]"
缱,纟,0.8395,"['糸', '纟']","[163, 120, 109]"
叉,又,19.1901,['又'],"[20998, 231]"
镬,钅,0.3111,"['钅', '金']","[165, 243, 105]"
监,皿,90.163,['皿'],"[33566, 239]"
空,穴,489.2988,['穴'],"[163, 102, 118]"
豢,豕,0.1432,['豕'],"[164, 109, 95]"
食,食,405.0667,"['飠', '饣', '食']","[45617, 253]"
半,十,497.4864,['十'],"[39355, 232]"
考,耂,368.8346,['耂'],"[32003, 225]"
割,刂,22.7951,"['刂', '刀']","[30298, 110]"
聚,耳,206.2272,['耳'],"[164, 223, 248]"
窗,穴,126.9679,['穴'],"[163, 103, 245]"
墓,土,27.9802,['土'],"[161, 95, 241]"
泊,氵,14.0691,"['氺', '水', '氵']","[37345, 232]"
刑,刂,41.121,"['刂', '刀']","[26344, 239]"
粉,米,290.716,['米'],"[163, 110, 231]"
蛰,虫,1.037,['虫'],"[164, 249, 108]"
云,二,264.1679,['二'],"[12859, 239]"
飞,飞,388.5481,"['飛', '飞']","[45617, 252]"
音,音,472.637,['音'],"[165, 253, 111]"
纠,纟,81.7679,"['糸', '纟']","[163, 118, 254]"
娱,女,60.3259,['女'],"[161, 101, 109]"
倒,亻,328.1827,"['人', '亻']","[161, 222, 240]"
纯,纟,113.7432,"['糸', '纟']","[163, 118, 107]"
用,用,1499.9654,['用'],"[18796, 101]"
胸,月,75.7926,['月'],"[47797, 116]"
娇,女,36.1481,['女'],"[161, 101, 229]"
游,氵,645.4123,"['氺', '水', '氵']","[162, 116, 116]"
羔,羊,3.9407,['羊'],"[163, 122, 242]"
纸,纟,188.0395,"['糸', '纟']","[163, 118, 116]"
得,彳,4328.884,['彳'],"[36181, 245]"
浸,氵,19.9407,"['氺', '水', '氵']","[38184, 116]"
染,木,64.8099,['木'],"[162, 253, 241]"
标,木,259.6049,['木'],"[43718, 229]"
掸,扌,0.6765,"['扌', '手']","[162, 236, 116]"
拗,扌,1.5506,"['扌', '手']","[162, 233, 245]"
蒜,艹,22.6963,['艹'],"[164, 240, 250]"
肉,肉,305.0914,['肉'],"[164, 224, 231]"
金,金,738.9778,"['钅', '金']","[34932, 239]"
逼,辶,164.1333,['辶'],"[34460, 120]"
婚,女,341.0469,['女'],"[161, 102, 248]"
公,八,897.0864,"['丷', '八']","[17739, 105]"
磕,石,8.0741,['石'],"[163, 96, 243]"
唁,口,0.2519,"['囗', '口']","[161, 242, 223]"
浩,氵,29.8963,"['氺', '水', '氵']","[38184, 102]"
肝,月,29.2642,['月'],"[164, 224, 251]"
白,白,793.2346,['白'],"[163, 50159]"
深,氵,331.521,"['氺', '水', '氵']","[162, 115, 109]"
囔,口,1.2099,"['囗', '口']","[32368, 242]"
毛,毛,279.9012,['毛'],"[162, 107, 249]"
变,又,722.5926,['又'],"[20998, 246]"
祭,示,15.0469,"['礻', '示']","[163, 98, 255]"
谣,讠,13.037,"['讠', '言']","[164, 108, 96]"
熟,灬,163.9802,"['火', '灬']","[163, 228, 253]"
猎,犭,28.6272,"['犬', '犭']","[163, 234, 236]"
背,月,193.3728,['月'],"[47797, 234]"
组,纟,179.7975,"['糸', '纟']","[163, 119, 226]"
道,辶,2396.7111,['辶'],"[34402, 241]"
拥,扌,190.5827,"['扌', '手']","[162, 233, 98]"
基,土,240.3753,['土'],"[161, 253, 118]"
优,亻,172.9531,"['人', '亻']","[27670, 246]"
主,丶,876.958,['丶'],"[10310, 119]"
烦,火,277.7037,"['火', '灬']","[163, 225, 99]"
楷,木,1.5259,['木'],"[162, 98, 115]"
见,见,1158.5086,"['见', '見']","[164, 100, 223]"
古,口,184.1975,"['囗', '口']","[20998, 97]"
额,页,75.9605,"['頁', '页']","[165, 95, 251]"
慑,忄,2.9333,"['心', '忄']","[162, 227, 239]"
改,攵,325.7728,"['攴', '攵']","[162, 242, 117]"
炕,火,1.6741,"['火', '灬']","[163, 224, 243]"
声,士,510.1877,['士'],"[18004, 108]"
咸,口,19.4617,"['囗', '口']","[161, 240, 116]"
尺,尸,45.758,['尸'],"[22887, 118]"
忠,心,65.7481,"['心', '忄']","[33232, 254]"
禅,礻,13.5111,"['礻', '示']","[163, 99, 227]"
瘤,疒,9.7827,['疒'],"[163, 246, 97]"
接,扌,607.4963,"['扌', '手']","[162, 236, 98]"
油,氵,393.3531,"['氺', '水', '氵']","[162, 110, 117]"
绉,纟,0.2272,"['糸', '纟']","[163, 119, 231]"
夸,大,34.242,['大'],"[13783, 116]"
蟠,虫,0.8642,['虫'],"[164, 253, 254]"
头,大,1096.242,['大'],"[13783, 112]"
犬,犬,26.6272,"['犬', '犭']","[163, 232, 105]"
废,广,57.7333,['广'],"[41753, 253]"
普,日,126.1383,['日'],"[162, 247, 106]"
疲,疒,44.3111,['疒'],"[163, 244, 110]"
激,氵,235.9012,"['氺', '水', '氵']","[162, 123, 222]"
枪,木,154.7062,['木'],"[162, 252, 103]"
言,言,373.5309,"['讠', '言']","[164, 101, 222]"
房,戶,457.1852,['戶'],"[22755, 123]"
哪,口,687.0173,"['囗', '口']","[161, 241, 103]"
雨,雨,388.3753,['雨'],"[37239, 101]"
广,广,289.8321,['广'],"[33176, 123]"
施,方,60.4938,['方'],"[23877, 121]"
柩,木,0.2025,['木'],"[162, 253, 102]"
滞,氵,6.9136,"['氺', '水', '氵']","[162, 119, 252]"
瘫,疒,7.2938,['疒'],"[163, 246, 104]"
葱,艹,40.7309,['艹'],"[164, 239, 109]"
钓,钅,15.5111,"['钅', '金']","[165, 240, 241]"
窥,穴,6.4099,['穴'],"[163, 103, 98]"
部,阝,702.1037,"['邑', '阜', '阝']","[32849, 101]"
足,足,252.6519,['足'],"[164, 114, 111]"
乐,丿,1581.5407,"['丿', '乀', '乁']","[20046, 238]"
重,里,899.0123,['里'],"[34932, 235]"
坏,土,203.1654,['土'],"[161, 251, 237]"
枕,木,28.1284,['木'],"[162, 252, 243]"
自,自,3079.6642,['自'],"[164, 229, 103]"
劳,力,109.2395,['力'],"[27950, 111]"
战,戈,721.5358,['戈'],"[22755, 246]"
锚,钅,1.7136,"['钅', '金']","[165, 242, 248]"
会,人,4272.8,"['人', '亻']","[27670, 248]"
揭,扌,31.7679,"['扌', '手']","[162, 237, 255]"
荣,艹,76.1827,['艹'],"[164, 235, 96]"
边,辶,817.1309,['辶'],"[164, 122, 117]"
钢,钅,41.8617,"['钅', '金']","[165, 240, 95]"
娼,女,1.4272,['女'],"[161, 101, 120]"
起,走,3212.4494,['走'],"[164, 113, 115]"
律,彳,126.7654,['彳'],"[36181, 233]"
口,口,581.5012,"['囗', '口']","[20998, 96]"
录,彐,339.037,"['彐', '彑']","[37605, 243]"
威,女,138.0198,['女'],"[161, 101, 223]"
夜,夕,1069.8815,['夕'],"[13783, 250]"
皮,皮,321.7481,['皮'],"[19021, 106]"
末,木,125.1309,['木'],"[17312, 104]"
月,月,716.8346,['月'],"[17312, 230]"
词,讠,127.6494,"['讠', '言']","[46237, 235]"
疯,疒,237.7679,['疒'],"[163, 244, 107]"
回,囗,2091.279,"['囗', '口']","[32368, 252]"
行,行,1328.2914,['行'],"[26193, 234]"
总,心,655.1407,"['心', '忄']","[45250, 119]"
缠,纟,29.6494,"['糸', '纟']","[163, 120, 254]"
端,立,417.3333,['立'],"[44165, 107]"
肥,月,142.1679,['月'],"[164, 224, 98]"
芋,艹,7.8074,['艹'],"[164, 232, 233]"
加,力,1169.5901,['力'],"[27950, 254]"
红,纟,687.8173,"['糸', '纟']","[163, 118, 95]"
杯,木,237.763,['木'],"[30266, 107]"
吐,口,98.8889,"['囗', '口']","[28938, 238]"
三,一,1715.037,['一'],[49011]
矿,石,20.2321,['石'],"[163, 253, 123]"
囚,囗,8.6321,"['囗', '口']","[32368, 248]"
省,目,101.9654,['目'],"[40367, 223]"
疆,田,12.163,['田'],"[163, 244, 228]"
筛,⺮,6.6667,"['⺮', '竹']","[163, 255, 249]"
亡,亠,72.7654,['亠'],"[12859, 94]"
唇,口,27.5407,"['囗', '口']","[161, 242, 229]"
少,小,727.5457,['小'],"[22887, 239]"
插,扌,59.9951,"['扌', '手']","[162, 237, 240]"
巡,巛,19.8815,"['巛', '巜', '川']","[32432, 94]"
显,日,172.1481,['日'],"[23626, 122]"
登,癶,263.3926,['癶'],"[163, 247, 119]"
认,讠,560.316,"['讠', '言']","[164, 106, 97]"
叮,口,14.0988,"['囗', '口']","[20998, 106]"
包,勹,667.2148,['勹'],"[44293, 227]"
帮,巾,752.5235,['巾'],"[30585, 106]"
京,亠,230.6469,['亠'],"[12859, 105]"
拜,手,648.484,"['扌', '手']","[162, 233, 250]"
镇,钅,82.6568,"['钅', '金']","[165, 243, 229]"
焊,火,1.7877,"['火', '灬']","[47078, 232]"
骨,骨,97.7185,['骨'],"[165, 103, 101]"
麦,麦,108.6617,"['麥', '麦']","[165, 118, 99]"
缉,纟,13.284,"['糸', '纟']","[163, 120, 231]"
吝,口,5.1012,"['囗', '口']","[28938, 251]"
儒,亻,8.6864,"['人', '亻']","[161, 226, 240]"
卜,卜,53.284,['卜'],"[39355, 250]"
无,无,1728.5086,"['旡', '无']","[33768, 254]"
立,立,268.1926,['立'],"[44165, 233]"
杀,木,413.3679,['木'],"[30266, 222]"
胶,月,34.4395,['月'],"[47797, 114]"
直,目,790.8642,['目'],"[33566, 112]"
穷,穴,57.3383,['穴'],"[163, 102, 115]"
嘶,口,3.5556,"['囗', '口']","[161, 246, 114]"
禁,示,72.0296,"['礻', '示']","[163, 99, 223]"
查,木,397.3531,['木'],"[162, 253, 98]"
渎,氵,2.4642,"['氺', '水', '氵']","[162, 116, 236]"
封,寸,109.6049,['寸'],"[22887, 223]"
脱,月,121.9062,['月'],"[164, 226, 109]"
好,女,7331.8765,['女'],"[25001, 121]"
靶,革,2.3407,['革'],"[165, 251, 114]"
议,讠,157.4321,"['讠', '言']","[164, 106, 106]"
域,土,34.3111,['土'],"[161, 253, 253]"
灵,火,212.8346,"['火', '灬']","[163, 223, 113]"
交,亠,405.7926,['亠'],"[12859, 97]"
剑,刂,110.4938,"['刂', '刀']","[30298, 239]"
厌,厂,177.516,['厂'],"[43889, 234]"
促,亻,77.8815,"['人', '亻']","[46479, 225]"
黄,黃,244.7062,['黃'],"[165, 119, 226]"
谢,讠,960.8543,"['讠', '言']","[164, 108, 95]"
越,走,533.1753,['走'],"[164, 114, 232]"
拼,扌,103.0815,"['扌', '手']","[162, 233, 120]"
遨,辶,0.8296,['辶'],"[34402, 101]"
烤,火,72.6617,"['火', '灬']","[163, 225, 97]"
人,人,8774.3259,"['人', '亻']",[21689]
椿,木,0.7062,['木'],"[162, 97, 123]"
片,片,1065.6247,['片'],"[31965, 229]"
措,扌,21.6395,"['扌', '手']","[162, 236, 103]"
贱,贝,76.7111,"['貝', '贝']","[164, 112, 109]"
覆,覀,25.3037,['覀'],"[17358, 228]"
鹿,鹿,27.7877,['鹿'],"[165, 117, 123]"
教,攵,331.5062,"['攴', '攵']","[46763, 247]"
艳,色,61.7481,['色'],"[164, 231, 111]"
跟,足,861.6049,['足'],"[164, 115, 253]"
旧,日,121.5802,['日'],"[33768, 100]"
点,灬,2556.3951,"['火', '灬']","[163, 224, 117]"
下,一,4449.8815,['一'],"[10310, 233]"
绅,纟,10.484,"['糸', '纟']","[163, 119, 227]"
过,辶,4522.7704,['辶'],"[32573, 229]"
私,禾,123.5951,['禾'],"[163, 100, 223]"
应,广,669.0123,['广'],"[41753, 242]"
终,纟,677.5012,"['糸', '纟']","[163, 119, 230]"
当,彐,1142.9679,"['彐', '彑']","[37605, 241]"
哆,口,9.763,"['囗', '口']","[161, 241, 228]"
胜,月,188.2815,['月'],"[47797, 250]"
使,亻,389.0963,"['人', '亻']",[45635]
琴,王,61.516,"['王', '玉']","[49426, 112]"
捆,扌,5.0222,"['扌', '手']","[162, 235, 228]"
集,隹,263.2988,['隹'],"[37239, 228]"
疾,疒,26.7012,['疒'],"[163, 244, 122]"
拧,扌,5.0519,"['扌', '手']","[162, 233, 100]"
汇,氵,56.5284,"['氺', '水', '氵']","[162, 109, 229]"
任,亻,580.0741,"['人', '亻']","[20015, 119]"
狩,犭,2.4938,"['犬', '犭']","[45379, 102]"
坚,土,251.1457,['土'],"[161, 251, 248]"
访,讠,85.6,"['讠', '言']","[164, 106, 123]"
扁,戶,16.0741,['戶'],"[33699, 223]"
复,夂,378.0642,['夂'],"[13783, 235]"
励,力,171.6741,['力'],"[27950, 109]"
烟,火,216.8938,"['火', '灬']","[163, 225, 253]"
迷,辶,227.8963,['辶'],"[32573, 115]"
编,纟,68.1037,"['糸', '纟']","[163, 120, 244]"
眼,目,722.3506,['目'],"[40367, 120]"
友,又,1370.1432,['又'],"[20998, 233]"
抽,扌,276.2716,"['扌', '手']","[162, 232, 121]"
可,口,3324.5926,"['囗', '口']","[20998, 107]"
仙,亻,77.2198,"['人', '亻']","[20015, 247]"
俱,亻,45.8914,"['人', '亻']","[46479, 109]"
己,己,1767.8667,['己'],"[32432, 109]"
首,首,322.8296,['首'],"[165, 99, 244]"
长,长,1007.6741,"['長', '长']","[165, 243, 123]"
青,青,297.684,['青'],"[165, 251, 240]"
性,忄,554.5531,"['心', '忄']","[45250, 100]"
柄,木,5.8123,['木'],"[162, 253, 226]"
松,木,203.7531,['木'],"[30266, 122]"
奇,大,364.3506,['大'],"[25001, 229]"
