,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither
10,懊,忄,1.2331723187303638,"('心', '忄')","[162, 229, 232]",3,e6878a,39,"['慑', '悔', '懒', '懵', '憎', '憾', '悖', '懂', '悯', '悄', '悍', '憧', '慢', '悦', '懦', '慎', '悼', '悴', '慷', '悟', '懈', '悃', '慨', '憔', '慵', '悸', '憬', '懑']",28,"['峋', '嗳', '嗖', '娑', '嬷', '蛊', '骜', '薰', '嗡', '薄', '痩', '磨', '蛹', '咔', '踢', '藩', '榆', '鬣', '蟠', '蜻', '躲', '鞠', '鹭', '蜷', '娶', '噼', '磺', '鄂', '蟑', '翠', '瘟', '噗', '鹂', '咳', '璃', '嘹', '蜍', '蝌', '椎', '嗐', '螅', '狈', '妇', '酱', '鸡', '蝈', '骚', '犒', '犸', '崇', '莞', '踯', '矿', '蓝', '獠', '鸽', '蹟', '嚯', '鹕', '瞠', '峭', '酋', '澪', '咏', '傲', '疫', '踩', '蜂', '鹚', '瞧', '蒂', '嘴', '狄', '槽', '瀣', '犀', '熨', '骷', '嫡', '煮', '蝰', '鳌', '蹶', '莽', '鲍', '嫔', '糁', '磊', '烦', '矾', '猕', '莺', '熏', '蚁', '脾', '葬']",悟,躲
11,澪,氵,-1.2855444580197475,"('氺', '水', '氵')","[162, 122, 103]",3,e6beaa,24,"['激', '潮', '潜', '澄', '濒', '濑', '瀑', '潭', '澎', '潇', '澈', '澳', '澡', '潘', '潦', '潍', '潞', '澜', '潢', '瀛', '瀚', '濡', '瀣']",23,"['瘴', '酋', '疙', '痿', '骁', '鲑', '鲮', '葱', '磁', '榴', '狲', '酣', '瓯', '蘑', '嘱', '瓤', '矾', '酮', '椅', '踌', '嘻', '脊', '蹑', '咏', '鳄', '酵', '腰', '煦', '鞘', '簇', '咋', '妃', '糊', '噱', '熙', '糜', '磅', '蹋', '醒', '燎', '梦', '蕃', '蕉', '妈', '嗲', '慢', '鹕', '蓑', '骄', '襁', '娑', '妓', '蝠', '蚓', '傀', '猢', '鸠', '蚣', '莞', '麂', '璃', '翻', '脆', '狙', '咂', '躯', '疽', '薰', '妒', '蛭', '鹋', '橡', '嘴', '腕', '磨', '烙', '蚁', '簿', '膏', '熏', '嘬', '烦', '嗄', '脉', '瘌', '麻', '蹟', '蚤', '鳏', '梭', '猫', '薄', '饪', '猥', '瘘', '瞩', '噬', '炫']",瀚,酮
12,瓢,瓜,0.8483544448623279,"('瓜',)","[163, 241, 95]",3,e793a2,4,"['瓤', '瓜', '瓣']",3,"['砹', '腭', '蝎', '鱼', '烊', '狞', '鬃', '蚯', '麝', '嚎', '猥', '婊', '醐', '鞘', '蒋', '炕', '膺', '翱', '蔫', '鸽', '咪', '蹰', '崖', '蹑', '熔', '褂', '咋', '腻', '糜', '嫦', '噗', '蒂', '蛊', '煽', '嫔', '蝴', '妓', '踩', '蜂', '鸪', '慕', '犄', '鏖', '搏', '蹟', '犁', '骶', '脍', '蕨', '媲', '骝', '妖', '蓝', '瘢', '狭', '痪', '褐', '嘈', '醮', '膀', '犯', '螳', '瑞', '褥', '膘', '榎', '嗅', '脑', '魅', '犊', '潇', '榆', '鳟', '鹭', '研', '悼', '瑰', '懵', '垫', '鲮', '憧', '簪', '蔡', '鸥', '鹈', '樘', '娣', '韵', '患', '咄', '痧', '激', '献', '猫', '蔷', '韶', '鲛', '蟆', '砧']",瓜,蓝
13,砧,石,-0.7889975062167794,"('石',)","[163, 254, 100]",3,e7a0a7,31,"['磕', '矿', '磁', '破', '磊', '砂', '砾', '磨', '砸', '磷', '砌', '砚', '砒', '砖', '磺', '磅', '研', '砍', '矽', '砷', '砝', '磐', '磋', '砰', '砣', '砹', '矾', '砭', '砺', '砥']",30,"['嗤', '嗄', '瑭', '腺', '蜮', '猾', '蝣', '炙', '橙', '咻', '搐', '瞳', '疯', '褪', '瘾', '膊', '翎', '咛', '慑', '榭', '症', '骐', '燥', '韶', '瀛', '噢', '搂', '嘈', '螅', '瀣', '咄', '蹈', '咱', '烫', '憧', '翳', '澳', '嵌', '藕', '搪', '葱', '媒', '脓', '蝙', '瑟', '梢', '糍', '潇', '矣', '蹭', '蝮', '擦', '熬', '蟋', '酋', '瞪', '搅', '蛤', '檐', '烯', '蓉', '痂', '蛮', '痣', '痔', '婴', '梳', '懊', '蓑', '翟', '嚯', '蹊', '蛰', '搽', '狄', '蕊', '璀', '蟑', '梏', '潢', '痱', '熨', '饭', '悸', '饥', '妈', '蜂', '鹳', '躯', '炯', '魁', '藿', '狭', '瓯', '腱', '蔽']",矾,蓑
14,烹,灬,1.9665107771918413,"('火', '灬')","[163, 225, 117]",3,e783b9,61,"['热', '熟', '煞', '熏', '燕', '燃', '烈', '煎', '熙', '熊', '煮', '熹', '熬', '煦']",14,"['糯', '猩', '嚎', '疾', '韵', '咤', '猜', '鳌', '糜', '膏', '蝎', '蕨', '酣', '薪', '髻', '蜓', '咄', '蟆', '鸽', '搧', '瘴', '薇', '娟', '痴', '酋', '媲', '槲', '蓟', '磺', '瞩', '懦', '髦', '疼', '咯', '醛', '腆', '踹', '瞪', '蜊', '腔', '慨', '璞', '犄', '澈', '悃', '械', '痞', '搽', '蛛', '腐', '痪', '鸵', '嘘', '麓', '疮', '悍', '犸', '璀', '檀', '螂', '娠', '鬣', '蹩', '蔬', '莲', '瓦', '憎', '褂', '嬷', '擅', '咀', '咒', '懈', '鸡', '躺', '婢', '嗬', '麻', '嫔', '融', '悸', '糟', '鲱', '董', '垛', '慢', '擂', '蛭', '疫', '猛', '鉴', '梦', '矫', '磁', '瀣']",煞,擂
15,脑,月,5.792426240795619,"('月',)","[164, 226, 239]",3,e88491,46,"['脱', '腱', '膝', '腹', '腾', '腓', '脆', '脾', '腋', '脚', '脸', '脊', '腔', '脖', '腰', '腿', '腮', '腥', '脐', '腻', '膏', '脉', '膀', '脂', '脓', '腭', '脏', '膨', '膛', '腕', '腊', '膜', '膳', '膊', '腼', '脯', '膈', '膘', '腚', '脍', '腺', '腴', '腆', '腑', '膺']",45,"['燎', '鲡', '潦', '痒', '醮', '崭', '藤', '搂', '鸢', '痉', '麟', '蜕', '傍', '妇', '榭', '搀', '猎', '鄙', '鳄', '澄', '蔫', '狈', '婀', '潞', '糟', '疼', '獠', '咕', '蚂', '嚎', '槛', '莞', '儡', '魂', '研', '麋', '蜴', '垣', '梧', '魇', '蓑', '妄', '葬', '踱', '璃', '麝', '烈', '疹', '饨', '翠', '鳖', '蜚', '矢', '骗', '蘸', '瘪', '嚼', '蹭', '鼻', '犷', '蝶', '儆', '蛹', '鸳', '懑', '蜥', '妍', '烟', '薇', '鹳', '鼬', '嗌', '蛭', '骑', '藿', '瘠', '蜍', '猡', '憧', '躇', '瓷', '犯', '嘞', '瞬', '蛋', '蔵', '瞧', '槃', '嫂', '梢', '鳃', '婆', '矮', '炆', '炒', '榜', '鱼', '噫']",脍,噫
16,橘,木,2.8650881373616652,"('木',)","[162, 102, 246]",3,e6a998,65,"['梦', '橡', '椿', '横', '榴', '榛', '梳', '植', '械', '樵', '梯', '槌', '槟', '樘', '橄', '樱', '椒', '椎', '梵', '梨', '橙', '槐', '槛', '榄', '梓', '梅', '樟', '樽', '椅', '榨', '梗', '椰', '樊', '榜', '榻', '橱', '榔', '檫', '梭', '梁', '橇', '椭', '槽', '椽', '檀', '槃', '榕', '榆', '榎', '橹', '椁', '椴', '槲', '梧', '梏', '梢', '榈', '槁', '檬', '檐', '榷', '梆', '榭', '榉']",64,"['蚓', '娴', '搽', '醮', '瞌', '腔', '饶', '妖', '砝', '瘟', '蹼', '燮', '蔬', '烃', '鹏', '瘾', '濡', '妻', '燥', '膏', '莲', '蝶', '炮', '腋', '猫', '犁', '蛎', '翼', '妞', '懂', '蹒', '妇', '鸬', '磋', '魅', '蜂', '鲨', '嗳', '症', '咩', '饺', '嗬', '鞠', '嬗', '蚣', '搔', '蟆', '魔', '猎', '骷', '擢', '骚', '鳗', '翁', '慈', '痹', '膜', '蓬', '搂', '莎', '膨', '猥', '酋', '磐', '鸫', '醚', '咳', '瘁', '懈', '蝌', '砺', '骰', '疼', '褡', '嫡', '饱', '藜', '烟', '燕', '璜', '鹞', '砹', '醒', '蟒', '膝', '娇', '峋', '糠', '酥', '鲭', '潇', '瞪']",樘,砹
17,热,灬,6.099698804611453,"('火', '灬')","[163, 225, 255]",3,e783ad,61,"['烹', '熟', '煞', '熏', '燕', '燃', '烈', '煎', '熙', '熊', '煮', '熹', '熬', '煦']",14,"['鸯', '鲍', '酸', '脆', '鸨', '蜻', '鹰', '鱼', '蹭', '鲲', '鹦', '瓷', '莽', '嗤', '猎', '瑚', '嗣', '濡', '蔼', '蜘', '搏', '咙', '葆', '踉', '蝇', '酝', '蝉', '腚', '翟', '薄', '糖', '嘤', '蟠', '董', '蚝', '疑', '鸶', '踵', '瓤', '踱', '慕', '魁', '蠖', '鞘', '骡', '鸵', '蕉', '骶', '膺', '脏', '矽', '檬', '脉', '潦', '妒', '嗅', '疾', '脚', '瓯', '蛟', '蹊', '蚜', '崭', '梳', '蹟', '椎', '娑', '蛾', '鸿', '鲤', '韵', '疱', '妾', '骤', '懵', '腱', '鹧', '潮', '醚', '傍', '磷', '腔', '媒', '翁', '鳌', '痛', '脔', '崛', '鹑', '融', '簧', '媲']",熊,脏
18,疑,疋,4.726535242983539,"('疋',)","[163, 244, 239]",3,e79691,2,['疏'],1,"['踯', '榴', '脂', '噻', '婀', '嗨', '薛', '梨', '蹩', '蛹', '妪', '磅', '褂', '猩', '憧', '砍', '妻', '骗', '蔻', '悖', '瓜', '鸡', '鬣', '莺', '妓', '蓿', '脚', '踩', '澜', '橇', '憋', '酵', '酋', '猝', '擀', '矗', '疡', '蛋', '蹭', '醍', '峦', '螂', '梅', '鸸', '酝', '鳟', '鲡', '悲', '慕', '蜊', '瓦', '蛤', '搬', '饽', '璨', '蜴', '鹉', '鹫', '嗖', '瓢', '槲', '烯', '鹕', '婶', '娌', '妨', '嚷', '膜', '梗', '傻', '蠢', '娼', '融', '鹏', '咿', '髻', '狗', '蒙', '咛', '糟', '媒', '鳏', '潮', '嗡', '擅', '蜻', '嘁', '痂', '嵌', '脐', '搏', '咯', '莎', '懊', '椰', '踪', '燮', '嘈', '翔', '蟹']",疏,砍
19,嫌,女,3.8428186830155946,"('女',)","[161, 104, 234]",3,e5ab8c,69,"['娱', '娇', '婚', '娼', '威', '嫂', '妮', '妳', '妇', '妖', '妓', '妻', '妄', '嫦', '妨', '娴', '妹', '妾', '妙', '妥', '嫡', '嫖', '婴', '嬉', '妒', '媚', '媳', '媒', '婢', '媲', '娘', '妞', '妩', '妃', '娟', '妆', '妯', '娑', '妊', '嬷', '婶', '嫁', '嫩', '婉', '娶', '娃', '婊', '婆', '嫉', '妍', '妈', '娥', '妲', '婀', '嬗', '娣', '嫔', '娓', '媾', '娆', '婿', '娌', '娠', '妪', '娩', '媛', '娜', '婪']",68,"['葺', '烛', '翱', '鸵', '嶙', '鳏', '鳟', '瑶', '魂', '蝴', '醉', '瞬', '鲟', '襄', '鱿', '莲', '躲', '橇', '檀', '蛀', '蝈', '糯', '瘠', '麋', '痹', '鹞', '烃', '翌', '熠', '鲤', '莱', '蚱', '嚷', '蛹', '嘛', '葛', '蜍', '疝', '磺', '踪', '痱', '翅', '峙', '垩', '狞', '痧', '鲡', '咚', '鸟', '膨', '疖', '螅', '蓖', '蝰', '噔', '砷', '疽', '饶', '蜘', '炊', '藐', '褛', '燎', '薏', '痴', '樟', '搓', '咻', '悲', '蜊', '褶', '餮', '儆', '嗌', '煮', '搂', '酿', '骚', '踯', '蘸', '噱', '澈', '鬼', '痣', '嘞', '疵', '痦', '煤', '咬', '橄', '樘', '蛛', '樵']",嫔,樵
20,病,疒,5.660849225227146,"('疒',)","[163, 245, 227]",3,e79785,61,"['痛', '痕', '瘤', '疲', '瘫', '疯', '疾', '疼', '疡', '疥', '瘪', '痨', '瘦', '痤', '疫', '疝', '痧', '症', '痂', '疚', '痞', '痴', '痰', '瘾', '痦', '瘢', '痉', '疗', '痿', '痩', '疙', '痘', '疖', '疮', '痢', '痔', '瘘', '疟', '瘟', '瘴', '痹', '疤', '痒', '瘸', '疱', '瘠', '疵', '痱', '痊', '痣', '疹', '疽', '疸', '瘩', '痫', '瘌', '疳', '痪', '瘁', '痍']",60,"['鏖', '蔻', '砺', '嘈', '煅', '磺', '鸟', '咐', '骄', '褶', '酣', '瓣', '橹', '熬', '鹿', '妙', '鲮', '嵌', '蚜', '褐', '崛', '嘿', '脯', '腰', '蕾', '蟋', '嫌', '獒', '燕', '糕', '脔', '翁', '襁', '潮', '濒', '嚄', '饯', '藉', '髌', '槐', '垩', '娄', '猜', '崭', '骜', '襄', '鲨', '咪', '搪', '嚏', '崖', '蛤', '魅', '悠', '熏', '膊', '瞄', '嘱', '矣', '峋', '莴', '瓷', '饱', '傅', '樵', '蓿', '咧', '翰', '蝰', '醒', '蒋', '嘚', '妊', '瞿', '熊', '澳', '脉', '膏', '蟒', '酚', '藕', '脱', '蠕', '檐', '熹', '潍', '燮', '蛙', '峡', '腔', '疏', '懑', '蜡', '葱', '瀚']",疾,蕾
21,橡,木,2.4799527327116535,"('木',)","[162, 102, 94]",3,e6a9a1,65,"['梦', '橘', '椿', '横', '榴', '榛', '梳', '植', '械', '樵', '梯', '槌', '槟', '樘', '橄', '樱', '椒', '椎', '梵', '梨', '橙', '槐', '槛', '榄', '梓', '梅', '樟', '樽', '椅', '榨', '梗', '椰', '樊', '榜', '榻', '橱', '榔', '檫', '梭', '梁', '橇', '椭', '槽', '椽', '檀', '槃', '榕', '榆', '榎', '橹', '椁', '椴', '槲', '梧', '梏', '梢', '榈', '槁', '檬', '檐', '榷', '梆', '榭', '榉']",64,"['嗜', '憧', '踯', '燎', '踩', '蜥', '蛳', '咫', '搏', '魏', '蜮', '鲸', '猝', '脱', '藜', '搧', '痧', '悍', '噔', '嬗', '蜊', '潭', '鹜', '脚', '糖', '蔼', '狰', '魄', '咂', '煤', '狱', '蝣', '垛', '脑', '婀', '咿', '鸦', '烩', '疳', '蓟', '骶', '腕', '麻', '蝮', '嫉', '潞', '悖', '擂', '婶', '娃', '嵩', '嗽', '炊', '醛', '簧', '砒', '慵', '葚', '瘫', '垂', '鄂', '悠', '莫', '痍', '搀', '酚', '蟠', '鸫', '嗤', '蛤', '蜕', '鲣', '妳', '独', '炎', '娩', '莎', '嗓', '疽', '褐', '蝠', '蝙', '蓝', '骗', '犁', '嗡', '瞬', '噼', '猬', '脓', '脖', '烦', '濒', '脾', '蟾']",梨,踩
