,Unnamed: 0,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither,Groups
10,10,款,欠,5.3803866347445455,"('欠',)",[69253],1,e6acbe,2,['次'],1,"['其', '认', '载', '移', '论', '局', '者', '名', '土', '角', '小', '责', '分', '箱', '调', '期', '电', '和', '限', '外', '打', '告', '换', '活', '万', '值', '导', '介', '交', '倍', '功', '客', '送', '华', '果', '项', '并', '岁', '命', '是', '信', '备', '查', '内', '主', '整', '员', '播', '会', '队', '排', '制', '藏', '初', '视', '增', '索', '达', '可', '机', '管', '停', '素', '到', '南', '口', '然', '情', '软', '收', '产', '话', '止', '给', '连', '秒', '货', '码', '山', '放', '额', '优', '技', '立', '模', '径', '年', '线', '全', '今', '级', '近', '检', '确', '报', '一', '广', '使', '辑', '构']",次,打,
11,11,业,一,6.161405192412733,"('一',)",[42052],1,e4b89a,11,"['不', '上', '一', '三', '下', '万', '东', '专', '与', '两']",10,"['义', '感', '变', '改', '大', '详', '通', '败', '右', '异', '景', '播', '项', '表', '键', '活', '国', '年', '传', '清', '钟', '语', '服', '报', '族', '们', '午', '商', '我', '增', '放', '误', '统', '主', '址', '必', '限', '微', '示', '导', '内', '科', '起', '计', '指', '核', '设', '份', '品', '角', '事', '名', '球', '认', '最', '束', '错', '类', '都', '号', '录', '雷', '人', '倍', '果', '软', '省', '停', '陆', '取', '广', '外', '运', '将', '该', '器', '形', '米', '性', '需', '能', '西', '消', '阳', '者', '还', '作', '四', '哈', '超', '进', '再', '称', '城', '向', '查', '求', '司', '期', '调']",东,错,"['专', '上', '下']"
12,12,完,宀,6.915404945533634,"('宀',)",[47406],1,e5ae8c,10,"['审', '实', '定', '家', '安', '密', '宋', '客', '容']",9,"['英', '确', '限', '排', '四', '动', '统', '好', '陆', '票', '变', '雅', '议', '径', '调', '稍', '线', '大', '影', '化', '功', '放', '感', '还', '北', '政', '得', '要', '倍', '命', '收', '布', '该', '明', '年', '号', '司', '提', '可', '类', '直', '称', '右', '广', '资', '改', '箱', '待', '成', '治', '星', '并', '接', '源', '播', '必', '基', '反', '户', '商', '符', '备', '否', '修', '国', '上', '片', '转', '南', '端', '第', '然', '条', '东', '公', '清', '板', '学', '技', '询', '藏', '景', '一', '序', '链', '子', '送', '据', '标', '字', '是', '者', '辑', '货', '业', '们', '专']",安,学,"['客', '审', '容']"
13,13,必,心,6.1578157117037895,"('心', '忄')",[59614],1,e5bf85,12,"['思', '心', '总', '感', '意', '息', '您', '态', '志']",9,"['停', '同', '我', '止', '反', '稿', '供', '接', '立', '钟', '台', '送', '英', '税', '具', '从', '以', '频', '设', '题', '部', '亿', '城', '得', '直', '山', '权', '清', '单', '次', '组', '倍', '流', '库', '能', '了', '是', '步', '看', '番', '环', '责', '及', '他', '视', '利', '络', '拉', '现', '需', '可', '私', '华', '样', '友', '好', '品', '界', '起', '改', '时', '代', '击', '效', '规', '何', '箱', '专', '到', '主', '还', '页', '些', '表', '管', '星', '天', '含', '字', '将', '完', '实', '编', '法', '收', '程', '付', '午', '格', '都', '今', '期', '约', '张', '家', '经', '价']",志,具,"['息', '态', '感']"
14,14,不,一,9.623131009422032,"('一',)",[16937],1,e4b88d,11,"['业', '上', '一', '三', '下', '万', '东', '专', '与', '两']",10,"['直', '检', '设', '当', '友', '江', '相', '思', '时', '如', '活', '南', '元', '族', '字', '播', '这', '品', '道', '人', '串', '索', '素', '商', '口', '度', '正', '束', '供', '队', '介', '册', '功', '片', '线', '目', '分', '经', '店', '司', '集', '亿', '水', '达', '并', '土', '最', '络', '同', '记', '阳', '案', '容', '址', '果', '认', '所', '邮', '立', '号', '企', '要', '限', '键', '称', '导', '击', '门', '员', '还', '持', '提', '步', '解', '议', '他', '审', '性', '优', '断', '了', '未', '签', '反', '视', '城', '整', '公', '然', '数', '历', '院', '说', '方', '超', '再', '结', '户']",与,相,"['上', '业', '专']"
15,15,参,厶,6.374919703571038,"('厶',)",[74843],1,e58f82,3,"['去', '县']",2,"['费', '客', '代', '修', '输', '政', '没', '直', '享', '并', '其', '索', '单', '些', '思', '水', '游', '调', '定', '了', '么', '管', '台', '运', '利', '国', '方', '交', '更', '外', '件', '分', '立', '一', '简', '约', '番', '符', '将', '否', '志', '元', '二', '接', '省', '款', '五', '通', '近', '例', '推', '具', '张', '科', '器', '日', '版', '责', '局', '尔', '及', '微', '次', '键', '部', '产', '哈', '总', '企', '错', '排', '务', '头', '右', '钟', '多', '制', '指', '力', '章', '计', '导', '整', '下', '原', '现', '经', '节', '查', '值', '对', '类', '然', '库', '击', '达', '等', '在', '进']",县,例,
16,16,内,冂,6.256901010612443,"('冂',)",[32943],1,e58685,3,"['再', '册']",2,"['转', '始', '因', '微', '态', '或', '付', '先', '景', '对', '标', '种', '广', '都', '并', '所', '右', '明', '去', '安', '点', '找', '命', '器', '星', '会', '者', '雷', '听', '运', '影', '设', '了', '排', '当', '给', '感', '确', '像', '水', '反', '么', '日', '学', '通', '异', '审', '供', '初', '东', '享', '成', '间', '球', '服', '销', '位', '如', '回', '月', '模', '完', '目', '阳', '京', '然', '在', '收', '复', '下', '科', '力', '箱', '连', '超', '店', '询', '改', '案', '放', '场', '节', '账', '容', '统', '务', '步', '他', '志', '解', '山', '信', '持', '起', '送', '尔', '地', '华', '达']",册,供,
17,17,错,钅,6.682498371102248,"('钅', '金')",[29826],1,e99499,7,"['钟', '钮', '销', '链', '键']",5,"['推', '停', '索', '或', '来', '构', '基', '将', '于', '败', '变', '和', '认', '检', '型', '里', '影', '辑', '换', '主', '闭', '表', '初', '信', '陆', '么', '费', '造', '后', '开', '日', '箱', '因', '客', '求', '历', '放', '取', '你', '清', '二', '法', '始', '改', '当', '人', '份', '治', '下', '找', '业', '问', '出', '语', '加', '由', '模', '环', '力', '亿', '考', '常', '是', '享', '张', '密', '证', '符', '议', '心', '件', '预', '条', '否', '汽', '台', '家', '代', '近', '供', '字', '像', '最', '直', '板', '布', '过', '少', '点', '计', '周', '友', '院', '平', '们', '族', '好', '案', '两']",键,索,"['钮', '钟', '销']"
18,18,问,门,6.960328943346108,"('門', '门')",[57107],1,e997ae,4,"['门', '间', '闭']",3,"['使', '经', '尔', '有', '册', '今', '交', '连', '停', '打', '计', '放', '设', '场', '您', '多', '消', '户', '证', '构', '雅', '阳', '题', '产', '土', '点', '感', '否', '法', '还', '所', '界', '月', '板', '表', '给', '换', '近', '费', '并', '方', '份', '预', '上', '说', '微', '广', '个', '倍', '城', '拉', '常', '话', '注', '态', '县', '起', '南', '此', '原', '向', '径', '女', '取', '符', '意', '去', '期', '单', '集', '键', '形', '开', '效', '市', '示', '现', '复', '安', '备', '项', '外', '先', '共', '整', '子', '步', '力', '该', '型', '待', '类', '星', '最', '华', '修', '日', '北', '如']",间,打,
19,19,换,扌,5.85380464389968,"('扌', '手')",[72234],1,e68da2,17,"['投', '打', '接', '指', '据', '持', '报', '按', '找', '播', '提', '推', '排', '拉', '技']",15,"['误', '于', '木', '得', '部', '介', '少', '米', '始', '核', '到', '思', '名', '十', '详', '过', '形', '土', '好', '倍', '退', '星', '页', '型', '闭', '最', '码', '多', '步', '注', '启', '箱', '系', '开', '态', '站', '预', '其', '体', '收', '布', '张', '分', '他', '证', '条', '里', '共', '市', '份', '速', '下', '周', '作', '称', '像', '听', '力', '然', '记', '表', '资', '消', '岁', '女', '付', '解', '学', '服', '等', '选', '户', '北', '错', '复', '询', '西', '族', '达', '书', '端', '入', '键', '月', '加', '以', '尔', '何', '社', '钟', '二', '失', '主', '发', '真', '画', '机', '串']",按,形,"['据', '报', '提']"
20,20,国,囗,7.415331208205916,"('囗', '口')",[29504],1,e59bbd,30,"['回', '四', '因', '图']",4,"['结', '项', '装', '播', '笑', '反', '投', '票', '量', '界', '询', '院', '造', '省', '其', '表', '标', '络', '资', '停', '钟', '存', '未', '方', '态', '好', '找', '认', '中', '序', '值', '西', '他', '实', '败', '键', '权', '间', '读', '于', '放', '头', '述', '引', '析', '得', '业', '第', '环', '更', '共', '从', '道', '米', '试', '功', '最', '简', '然', '海', '效', '片', '还', '张', '步', '户', '相', '何', '检', '优', '客', '秒', '专', '清', '完', '构', '事', '使', '种', '按', '止', '北', '男', '具', '处', '开', '型', '志', '公', '重', '版', '章', '山', '治', '画', '布', '失']",四,山,"['因', '图', '回']"
21,21,转,车,6.381978948294576,"('车', '車')",[47770],1,e8bdac,6,"['载', '车', '软', '输', '辑']",5,"['四', '日', '米', '程', '推', '引', '能', '听', '份', '实', '速', '告', '并', '认', '然', '像', '名', '设', '修', '者', '没', '起', '经', '证', '度', '业', '购', '样', '山', '代', '规', '问', '述', '否', '束', '容', '岁', '为', '右', '笑', '由', '提', '省', '口', '超', '义', '女', '环', '列', '报', '南', '老', '员', '改', '部', '算', '三', '学', '介', '去', '陆', '城', '台', '会', '公', '集', '请', '指', '之', '汽', '论', '排', '见', '些', '一', '案', '停', '本', '任', '东', '备', '真', '打', '和', '间', '微', '展', '索', '于', '增', '稿', '星', '格', '约', '这', '原', '基', '思', '同', '送']",辑,汽,"['载', '车', '软']"
22,22,算,⺮,6.234817309718561,"('⺮', '竹')",[70203],1,e7ae97,9,"['等', '简', '管', '符', '笑', '签', '箱', '第']",8,"['前', '有', '口', '键', '系', '解', '设', '链', '达', '案', '展', '公', '统', '阳', '上', '省', '星', '县', '水', '命', '治', '友', '钮', '取', '据', '型', '得', '雅', '由', '序', '注', '国', '单', '木', '发', '退', '参', '员', '放', '车', '海', '检', '项', '周', '集', '到', '书', '加', '保', '确', '五', '四', '引', '析', '收', '之', '编', '法', '工', '年', '动', '因', '基', '软', '改', '题', '端', '处', '么', '安', '点', '开', '库', '性', '计', '界', '山', '传', '先', '填', '误', '造', '内', '部', '运', '审', '图', '两', '客', '机', '页', '值', '邮', '源', '但', '今']",笑,工,"['签', '符', '简']"
23,23,但,亻,7.190495535752437,"('人', '亻')",[78388],1,e4bd86,35,"['传', '作', '价', '供', '优', '使', '任', '停', '修', '信', '值', '位', '例', '何', '保', '像', '代', '体', '倍', '付', '份', '他', '们', '你', '件', '亿']",26,"['初', '送', '图', '道', '尔', '和', '当', '改', '设', '法', '间', '系', '过', '名', '指', '您', '车', '治', '所', '华', '钮', '认', '库', '页', '记', '述', '在', '增', '常', '选', '径', '机', '闭', '详', '全', '方', '频', '类', '异', '上', '来', '试', '布', '版', '局', '出', '市', '两', '情', '组', '科', '链', '我', '次', '球', '码', '都', '络', '输', '备', '总', '现', '表', '后', '需', '员', '同', '解', '容', '税', '变', '连', '交', '海', '英', '个', '反', '将', '五', '案', '功', '新', '右', '点', '先', '问', '推', '项']",体,问,"['份', '他', '代']"
24,24,小,小,7.946360665422443,"('小',)",[31809],1,e5b08f,3,"['少', '尔']",2,"['岁', '键', '好', '由', '企', '超', '要', '主', '导', '布', '分', '议', '院', '简', '价', '装', '动', '四', '你', '通', '存', '节', '型', '载', '开', '环', '午', '在', '电', '家', '号', '以', '束', '您', '其', '章', '学', '规', '提', '解', '传', '京', '视', '图', '游', '番', '退', '并', '额', '月', '产', '闭', '辑', '大', '资', '止', '们', '历', '格', '未', '车', '引', '除', '停', '思', '二', '秒', '给', '台', '络', '后', '邮', '选', '箱', '示', '会', '来', '和', '万', '审', '理', '一', '初', '余', '笑', '亿', '签', '右', '还', '程', '第', '推', '经', '左', '能', '断', '进', '没', '试']",尔,价,
25,25,成,戈,7.809741710418997,"('戈',)",[13153],1,e68890,3,"['或', '我']",2,"['男', '藏', '参', '主', '年', '展', '场', '度', '报', '午', '字', '个', '听', '据', '述', '存', '经', '队', '确', '除', '认', '处', '制', '持', '汽', '店', '真', '数', '核', '议', '会', '并', '没', '回', '您', '环', '信', '于', '设', '移', '里', '换', '由', '易', '尔', '播', '商', '余', '门', '正', '但', '需', '思', '地', '产', '政', '和', '份', '多', '种', '审', '十', '老', '论', '品', '女', '到', '球', '雷', '右', '接', '四', '在', '来', '位', '星', '院', '型', '周', '版', '集', '布', '含', '级', '动', '意', '送', '小', '天', '共', '少', '利', '外', '解', '直', '收', '未', '阳', '索', '界']",或,字,
26,26,传,亻,6.318313845705717,"('人', '亻')",[42783],1,e4bca0,35,"['但', '作', '价', '供', '优', '使', '任', '停', '修', '信', '值', '位', '例', '何', '保', '像', '代', '体', '倍', '付', '份', '他', '们', '你', '件', '亿']",26,"['通', '级', '角', '分', '情', '票', '解', '话', '社', '功', '头', '公', '男', '备', '本', '动', '里', '元', '机', '意', '先', '秒', '因', '还', '友', '简', '出', '开', '费', '败', '资', '成', '重', '步', '速', '应', '者', '反', '购', '需', '店', '二', '陆', '布', '标', '类', '星', '改', '请', '字', '站', '当', '右', '板', '管', '图', '产', '串', '章', '水', '治', '能', '城', '享', '两', '排', '变', '入', '算', '评', '如', '参', '载', '整', '口', '少', '造', '提', '司', '清', '直', '型', '具', '国', '打', '列', '络', '向', '达', '证', '告', '服']",代,提,"['付', '值', '但']"
27,27,解,角,6.326701378072638,"('角',)",[50338],1,e8a7a3,2,['角'],1,"['账', '省', '称', '部', '日', '主', '他', '问', '些', '近', '果', '责', '等', '询', '输', '人', '码', '期', '思', '代', '再', '束', '超', '析', '调', '水', '持', '络', '换', '海', '设', '开', '初', '语', '定', '视', '型', '证', '运', '友', '错', '由', '只', '邮', '务', '保', '和', '记', '者', '午', '是', '核', '值', '级', '正', '任', '环', '感', '整', '参', '规', '与', '款', '变', '限', '时', '然', '权', '阳', '入', '节', '何', '考', '秒', '北', '易', '服', '命', '宋', '番', '您', '在', '程', '最', '有', '法', '经', '造', '误', '西', '站', '页', '工', '个', '市', '汽', '册', '广', '序']",角,程,
28,28,方,方,6.918189552122285,"('方',)",[24273],1,e696b9,2,['族'],1,"['反', '待', '符', '参', '常', '主', '销', '岁', '角', '装', '天', '介', '类', '输', '由', '与', '市', '哈', '真', '样', '导', '或', '江', '一', '复', '藏', '详', '址', '子', '型', '多', '读', '检', '案', '果', '集', '放', '环', '闭', '理', '从', '规', '源', '国', '享', '四', '调', '代', '前', '站', '因', '动', '取', '员', '审', '者', '起', '应', '之', '大', '客', '所', '未', '流', '门', '说', '络', '修', '全', '次', '后', '影', '形', '邮', '端', '异', '英', '交', '模', '出', '初', '版', '我', '达', '东', '他', '场', '立', '编', '备', '组', '上', '经', '量', '友', '辑', '止', '期', '发']",族,输,
29,29,求,水,6.365009931524872,"('氺', '水', '氵')",[32018],1,e6b182,15,['水'],1,"['认', '左', '周', '审', '除', '径', '作', '钟', '供', '方', '影', '历', '全', '天', '如', '能', '论', '下', '名', '报', '近', '购', '改', '否', '女', '版', '南', '画', '到', '功', '会', '超', '含', '引', '给', '密', '第', '场', '位', '三', '移', '也', '户', '将', '辑', '值', '表', '由', '线', '服', '运', '库', '们', '整', '击', '税', '去', '量', '格', '简', '约', '则', '投', '么', '城', '统', '连', '木', '专', '番', '后', '商', '店', '详', '账', '任', '问', '传', '完', '素', '只', '费', '星', '点', '是', '保', '上', '从', '息', '具', '解', '与', '起', '系', '外', '北', '前', '之']",水,版,
30,30,海,氵,6.4294247571938605,"('氺', '水', '氵')",[56235],1,e6b5b7,15,"['流', '没', '消', '清', '游', '法', '注', '江', '汽', '活', '治', '源']",12,"['导', '误', '后', '右', '情', '等', '税', '级', '公', '件', '查', '藏', '能', '错', '线', '先', '台', '标', '付', '案', '可', '之', '详', '今', '接', '失', '到', '西', '日', '达', '思', '预', '端', '步', '列', '闭', '串', '土', '外', '称', '表', '部', '签', '大', '资', '心', '议', '四', '京', '发', '然', '布', '种', '转', '败', '报', '构', '介', '选', '评', '东', '木', '经', '历', '待', '辑', '像', '口', '存', '位', '主', '引', '含', '集', '化', '子', '库', '商', '微', '该', '证', '账', '动', '陆', '地', '确', '司', '点', '十', '这', '但', '力', '最', '过', '得', '由', '信']",没,心,"['江', '活', '源']"
31,31,余,人,4.330993832671033,"('人', '亻')",[89783],1,e4bd99,35,"['今', '从', '会', '人', '以', '介', '企']",7,"['启', '京', '除', '复', '日', '定', '认', '键', '或', '播', '误', '达', '持', '说', '目', '治', '去', '米', '老', '友', '类', '将', '技', '义', '县', '江', '所', '则', '相', '待', '好', '成', '意', '含', '基', '立', '否', '能', '秒', '没', '此', '期', '运', '别', '女', '些', '车', '推', '字', '哈', '节', '和', '布', '间', '里', '管', '院', '拉', '模', '理', '点', '页', '码', '中', '请', '填', '北', '数', '元', '加', '算', '处', '询', '在', '客', '实', '当', '情', '后', '选', '络', '设', '城', '注', '常', '失', '考', '异', '及', '再', '我', '初', '读', '程', '息']",今,后,"['企', '介', '以']"
32,32,放,攵,7.038566938984566,"('攴', '攵')",[54322],1,e694be,7,"['效', '整', '收', '政', '改', '数']",6,"['述', '台', '打', '意', '异', '别', '然', '你', '销', '节', '加', '也', '密', '移', '提', '南', '不', '原', '找', '没', '宋', '样', '二', '华', '客', '证', '功', '束', '修', '安', '击', '未', '点', '调', '计', '级', '闭', '供', '所', '性', '种', '题', '老', '技', '时', '导', '城', '载', '余', '或', '说', '应', '统', '络', '系', '因', '前', '去', '变', '代', '备', '地', '线', '司', '货', '可', '四', '见', '最', '有', '海', '达', '造', '推', '发', '话', '员', '布', '经', '亿', '分', '三', '票', '向', '队', '按', '理', '回', '账', '力', '口', '您', '邮', '产', '在', '误', '此', '试', '错']",收,二,"['数', '改', '整']"
33,33,通,辶,6.381118142814591,"('辶',)",[33035],1,e9809a,16,"['近', '道', '过', '这', '退', '选', '还', '运', '连', '进', '送', '造', '述', '速', '达']",15,"['态', '女', '存', '持', '拉', '题', '算', '分', '情', '县', '全', '含', '时', '省', '销', '能', '异', '试', '认', '清', '束', '多', '限', '者', '未', '章', '优', '米', '启', '应', '目', '修', '责', '市', '代', '司', '英', '统', '集', '直', '子', '业', '线', '外', '视', '您', '起', '说', '不', '北', '介', '据', '学', '商', '合', '接', '见', '本', '但', '院', '审', '需', '断', '度', '新', '也', '索', '码', '向', '读', '串', '你', '像', '模', '好', '下', '利', '没', '族', '例', '签', '票', '成', '错', '端', '张', '径', '里', '午', '告', '局', '版', '科', '评', '编', '得', '番']",道,成,"['进', '近', '造']"
34,34,载,车,6.371869249998357,"('车', '車')",[28466],1,e8bdbd,6,"['转', '车', '软', '输', '辑']",5,"['两', '播', '秒', '运', '总', '管', '社', '天', '参', '尔', '期', '等', '陆', '意', '按', '预', '及', '该', '算', '应', '题', '码', '何', '序', '志', '连', '活', '所', '投', '规', '笑', '优', '查', '点', '需', '号', '情', '量', '评', '视', '安', '账', '与', '西', '南', '现', '义', '江', '持', '提', '作', '源', '木', '角', '英', '稍', '游', '二', '启', '族', '稿', '证', '介', '发', '形', '场', '口', '合', '站', '业', '电', '找', '向', '能', '供', '亿', '地', '件', '外', '款', '字', '海', '三', '价', '画', '求', '华', '度', '编', '并', '交', '具', '标', '局', '造', '企', '说']",转,持,"['软', '输', '车']"
35,35,出,凵,7.781764117869329,"('凵',)",[20834],1,e587ba,2,['击'],1,"['二', '再', '造', '雅', '称', '员', '规', '月', '审', '少', '导', '证', '议', '安', '例', '介', '样', '频', '钮', '项', '力', '开', '变', '清', '起', '总', '品', '真', '现', '传', '播', '器', '考', '量', '册', '询', '加', '类', '位', '头', '米', '推', '结', '能', '与', '余', '小', '参', '没', '等', '检', '此', '日', '视', '反', '线', '费', '队', '优', '化', '解', '工', '核', '改', '板', '原', '限', '看', '要', '子', '签', '元', '享', '待', '别', '作', '简', '院', '户', '注', '管', '交', '店', '辑', '据', '更', '土', '信', '求', '构', '回', '停', '责', '钟', '权', '修', '亿', '功', '除', '案']",击,线,
