,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither
10,干,干,6.477625534142273,"('干',)",[18770],1,e5b9b2,5,"['平', '幸', '年', '并']",4,"['搜', '智', '帮', '漂', '忆', '甘', '荣', '潭', '园', '均', '棋', '副', '忍', '福', '环', '波', '删', '象', '迹', '苦', '烈', '王', '似', '宇', '藏', '只', '轻', '璃', '乱', '锋', '曲', '栏', '毫', '若', '速', '端', '烧', '昨', '壮', '材', '存', '帐', '窗', '扎', '奴', '筑', '倾', '凡', '局', '绑', '构', '称', '传', '冲', '斗', '所', '吉', '赋', '扰', '仕', '岁', '官', '哲', '堡', '兄', '徽', '尿', '宫', '也', '胞', '狂', '剧', '私', '载', '栋', '周', '委', '手', '凭', '链', '独', '帝', '酒', '塔', '迷', '哭', '娱', '増', '了', '台', '情', '法', '朋', '产', '嗯', '遗', '森', '菲', '半', '慧']",幸,帮
11,话,讠,7.396347440966295,"('讠', '言')",[13920],1,e8af9d,51,"['训', '让', '评', '词', '认', '议', '谢', '访', '诚', '请', '讲', '调', '诱', '说', '课', '讨', '语', '谱', '识', '许', '诊', '试', '谜', '谋', '证', '记', '订', '设', '诉', '谈', '诀', '诸', '论', '诺', '讯', '该', '计', '诗', '谨', '读', '译', '详', '误', '诈', '谓', '询', '谁']",47,"['苗', '乎', '汽', '惜', '法', '骑', '爆', '扩', '潜', '绕', '扬', '限', '腕', '刷', '邀', '拿', '唱', '拨', '鹏', '嘎', '兄', '邻', '仅', '来', '摇', '介', '敌', '烟', '先', '泊', '棚', '菲', '册', '受', '签', '灯', '滤', '端', '山', '出', '末', '矿', '虑', '炉', '旧', '勤', '灰', '站', '技', '是', '抽', '丘', '泄', '靖', '浓', '初', '亭', '献', '松', '惑', '想', '北', '肯', '干', '羞', '直', '土', '罩', '冈', '肩', '奋', '互', '秋', '预', '旁', '腐', '允', '匙', '厉', '拔', '仓', '真', '笑', '本', '阶', '状', '刻', '很', '压', '阴', '待', '业', '公', '滑', '目', '辆', '妇']",试,公
12,财,贝,5.757693789036787,"('貝', '贝')",[22744],1,e8b4a2,30,"['贝', '资', '贤', '质', '货', '赛', '败', '贯', '贷', '负', '赢', '赚', '赞', '账', '赋', '贴', '责', '赌', '贡', '赔', '贸', '费', '赖', '贫', '贵', '赠', '购', '赏', '赁']",29,"['忍', '播', '甚', '要', '艇', '崎', '记', '仍', '丈', '久', '码', '统', '队', '馆', '维', '恩', '迎', '厅', '削', '团', '另', '激', '拾', '影', '钟', '杰', '富', '昌', '止', '软', '吕', '般', '业', '陵', '瑞', '炉', '沈', '废', '歌', '臀', '颜', '爵', '途', '其', '竟', '心', '斯', '单', '仁', '真', '基', '泄', '哪', '増', '佛', '野', '披', '想', '墨', '环', '典', '该', '坪', '脑', '局', '多', '奇', '张', '紫', '引', '输', '胆', '诗', '奔', '道', '固', '义', '吃', '津', '垃', '测', '泊', '版', '归', '评', '额', '树', '访', '发', '政', '蝶', '草', '试', '培', '啊', '盐', '才', '耀', '曝']",赋,泊
13,耳,耳,4.7439655744439495,"('耳',)",[99048],1,e880b3,7,"['聚', '联', '职', '聘', '聪', '聊']",6,"['携', '控', '涯', '出', '胆', '豪', '灾', '慧', '美', '哦', '撮', '识', '赚', '延', '拿', '迫', '抢', '日', '办', '盘', '升', '常', '市', '额', '滚', '史', '礼', '北', '字', '求', '估', '吞', '之', '展', '闲', '尾', '包', '琪', '刷', '列', '夏', '质', '须', '帝', '蝶', '放', '拘', '叫', '般', '胶', '酸', '暮', '康', '崎', '庆', '泄', '丰', '允', '济', '奴', '曼', '拼', '突', '待', '街', '季', '随', '厨', '念', '账', '虑', '浦', '化', '唯', '港', '牲', '妮', '嫌', '闭', '占', '棒', '敏', '惑', '空', '厦', '屁', '护', '迹', '正', '临', '搬', '兼', '淫', '属', '雨', '父', '癌', '授', '剑', '液']",聊,雨
14,别,刂,7.229602590840933,"('刂', '刀')",[22326],1,e588ab,32,"['到', '划', '刻', '割', '刑', '剑', '剧', '削', '创', '删', '副', '制', '刺', '列', '利', '判', '刷', '刚', '刊', '剩', '剂', '则', '刘']",23,"['唱', '堵', '师', '各', '富', '浪', '炒', '诸', '先', '宴', '安', '访', '塘', '印', '男', '氧', '疫', '障', '所', '章', '伍', '浮', '梯', '硕', '社', '盘', '树', '赋', '拟', '写', '卒', '会', '甸', '下', '凌', '避', '呼', '房', '夜', '哥', '厘', '局', '移', '工', '立', '交', '胎', '按', '弹', '菜', '纷', '详', '版', '年', '补', '响', '遮', '嬉', '驰', '表', '袜', '彦', '押', '轨', '餐', '控', '但', '己', '好', '译', '升', '往', '厅', '否', '促', '饮', '益', '增', '近', '由', '居', '探', '坚', '它', '继', '迟', '琴', '御', '址', '芽', '宋', '世', '尸', '岳', '信', '盐', '墓', '泡', '昔']",到,年
15,打,扌,7.145593295865985,"('扌', '手')",[15552],1,e68993,103,"['投', '拓', '描', '换', '撞', '折', '搜', '择', '掉', '授', '握', '探', '批', '拥', '接', '揭', '插', '拼', '措', '抽', '指', '损', '搏', '据', '抵', '持', '托', '报', '按', '招', '拖', '撤', '扑', '找', '播', '提', '扫', '抢', '扬', '摇', '担', '援', '扰', '操', '拔', '括', '推', '摄', '拍', '控', '才', '搞', '抗', '扎', '摆', '把', '扣', '执', '摘', '挂', '撮', '挥', '捕', '扶', '排', '搬', '搭', '拉', '抓', '披', '抱', '振', '护', '拘', '拒', '挺', '挑', '拾', '拆', '撒', '拟', '挡', '技', '挣', '押', '拨', '扩', '摸', '捷', '扒', '携', '擦', '撑', '揉', '撸']",95,"['直', '男', '绍', '秀', '当', '钻', '言', '造', '山', '吊', '典', '毒', '铜', '其', '岩', '炼', '幕', '帐', '灵', '毅', '砂', '端', '赶', '紫', '充', '档', '锁', '处', '脸', '吐', '誉', '森', '度', '医', '材', '乙', '尝', '议', '杏', '过', '菜', '玛', '呵', '主', '御', '败', '沿', '迷', '聘', '不', '盟', '厂', '爆', '豹', '肯', '型', '商', '期', '笑', '矩', '法', '浆', '付', '程', '尼', '禧', '驰', '花', '带', '诉', '调', '戒', '虚', '莱', '包', '咪', '洪', '桶', '发', '阻', '故', '筹', '瓜', '原', '管', '去', '坊', '苗', '告', '市', '洞', '狼', '邪', '今', '唯']",拉,处
16,拓,扌,2.6248497351760625,"('扌', '手')",[128229],1,e68b93,103,"['投', '打', '描', '换', '撞', '折', '搜', '择', '掉', '授', '握', '探', '批', '拥', '接', '揭', '插', '拼', '措', '抽', '指', '损', '搏', '据', '抵', '持', '托', '报', '按', '招', '拖', '撤', '扑', '找', '播', '提', '扫', '抢', '扬', '摇', '担', '援', '扰', '操', '拔', '括', '推', '摄', '拍', '控', '才', '搞', '抗', '扎', '摆', '把', '扣', '执', '摘', '挂', '撮', '挥', '捕', '扶', '排', '搬', '搭', '拉', '抓', '披', '抱', '振', '护', '拘', '拒', '挺', '挑', '拾', '拆', '撒', '拟', '挡', '技', '挣', '押', '拨', '扩', '摸', '捷', '扒', '携', '擦', '撑', '揉', '撸']",95,"['销', '诱', '司', '惯', '鸡', '转', '词', '峡', '条', '枪', '处', '遂', '粒', '鸣', '邮', '她', '败', '组', '题', '因', '贴', '莉', '孤', '奸', '猴', '头', '逻', '郭', '础', '侯', '峰', '医', '水', '来', '朋', '添', '新', '粉', '阻', '甘', '目', '课', '祝', '哲', '个', '显', '友', '蔡', '可', '邻', '磨', '贤', '役', '顺', '储', '端', '略', '甚', '警', '家', '章', '肺', '软', '冲', '魔', '剑', '幻', '萄', '率', '赢', '番', '湾', '涵', '须', '逐', '祖', '宫', '话', '及', '需', '商', '谁', '戏', '休', '竟', '立', '歉', '午', '说', '史', '朗', '线']",挥,峰
17,庄,广,3.747964067195995,"('广',)",[47603],1,e5ba84,16,"['废', '广', '应', '康', '店', '庆', '底', '床', '府', '度', '廉', '座', '序', '庭', '库']",15,"['播', '撸', '计', '投', '腿', '敏', '尽', '胎', '刘', '惨', '前', '男', '毒', '顶', '坏', '欣', '柄', '赔', '盾', '拾', '它', '域', '神', '属', '疾', '伴', '土', '却', '括', '皆', '纪', '效', '区', '而', '葛', '欲', '拟', '故', '入', '境', '会', '整', '菜', '翌', '馆', '妻', '炉', '副', '嫩', '新', '塘', '赢', '点', '哥', '障', '伯', '询', '迪', '寝', '以', '科', '辱', '挺', '出', '霸', '喷', '疆', '为', '达', '巨', '短', '刑', '异', '栗', '到', '塞', '睡', '咋', '般', '返', '拨', '扰', '増', '似', '部', '虐', '偏', '页', '痛', '俗', '虽', '宽', '汗', '村', '送', '候']",序,括
18,阻,阝,4.217835719952208,"('邑', '阜', '阝')",[136721],1,e998bb,39,"['隐', '部', '陌', '附', '险', '陷', '限', '陈', '随', '降', '陵', '除', '阵', '防', '隔', '障', '陪', '陶', '阴', '邮', '郎', '邪', '阳', '那', '邻', '陆', '队', '都', '阿', '院', '郑', '际', '阶', '邦', '隆', '阪', '郭']",37,"['缓', '证', '凡', '恶', '招', '笑', '件', '轨', '提', '矩', '翔', '肺', '玄', '资', '捕', '攻', '极', '误', '赶', '通', '存', '妙', '彰', '厕', '嘉', '厨', '乃', '美', '羞', '展', '钢', '素', '纽', '漫', '播', '疲', '硬', '京', '收', '俄', '独', '袭', '翻', '擦', '忍', '胸', '弹', '妻', '晓', '效', '菲', '析', '粗', '养', '债', '彻', '辨', '容', '宝', '职', '莲', '梁', '座', '滤', '览', '还', '子', '胜', '治', '版', '辽', '达', '呻', '寺', '培', '困', '易', '欢', '创', '意', '呼', '乌', '诱', '弟', '恩', '沙', '勒', '辱', '棋', '润', '迪', '介', '水', '娃', '八', '山']",陷,翔
19,班,王,6.298622355197391,"('王', '玉')",[40084],1,e78fad,19,"['现', '琴', '理', '球', '琪', '珍', '环', '玩', '王', '玲', '玖', '珠', '玻', '玛', '瑞', '琳', '璃']",17,"['津', '悠', '约', '好', '寝', '器', '宋', '对', '劲', '坏', '肥', '渐', '奏', '翌', '划', '瓶', '夏', '学', '费', '符', '伴', '磁', '卡', '么', '算', '据', '综', '嫂', '胜', '希', '享', '枪', '元', '硬', '迟', '钢', '吻', '拉', '如', '临', '语', '涉', '发', '需', '话', '老', '袖', '艇', '毕', '泉', '揉', '园', '尸', '莓', '和', '每', '塞', '惨', '灵', '绝', '前', '卧', '次', '制', '摇', '搏', '绍', '礼', '阁', '码', '舔', '证', '嗯', '其', '邻', '将', '祥', '骤', '亭', '泳', '己', '鲁', '夫', '板', '坚', '压', '休', '怕', '步', '董', '棋', '梯', '置', '鸿', '市', '昨', '钮', '吕', '宴', '饭']",玲,涉
20,野,里,5.0627513499227685,"('里',)",[28848],1,e9878e,4,"['重', '量', '里']",3,"['惑', '潭', '跃', '肉', '参', '央', '咨', '则', '仍', '侣', '城', '群', '片', '尤', '架', '腾', '蒙', '发', '靖', '孕', '神', '乡', '旨', '倾', '陶', '国', '牧', '后', '狗', '切', '跳', '扫', '期', '律', '策', '覆', '右', '源', '凤', '四', '懂', '曰', '卓', '返', '柔', '熟', '替', '标', '命', '老', '并', '噜', '孤', '艾', '迅', '宇', '岸', '汗', '行', '虫', '惯', '悠', '烈', '商', '鹰', '纬', '夜', '浓', '亮', '坡', '措', '肤', '串', '艇', '戒', '媒', '妹', '适', '反', '先', '时', '置', '归', '奸', '辛', '奉', '两', '猎', '喷', '如', '卢', '税', '款', '序', '盘', '医', '袖', '释', '险']",重,两
21,兵,八,5.050077777528486,"('丷', '八')",[44902],1,e585b5,14,"['共', '公', '其', '养', '具', '典', '兴', '八', '兼', '兽', '六', '兰']",12,"['绿', '辞', '椒', '英', '印', '含', '浆', '捕', '拔', '坡', '日', '她', '条', '毅', '敏', '视', '臭', '卡', '纬', '曝', '耐', '厚', '达', '电', '昌', '得', '聚', '桂', '事', '漫', '突', '景', '十', '避', '杏', '狠', '究', '澳', '只', '装', '塔', '搏', '且', '课', '眠', '慎', '京', '雨', '源', '纳', '赴', '湾', '愿', '片', '往', '爸', '猪', '奖', '液', '败', '察', '顶', '群', '件', '弗', '洛', '念', '参', '蝶', '品', '沃', '映', '早', '元', '象', '厅', '棚', '舟', '昼', '账', '狂', '忠', '疲', '掌', '户', '律', '旅', '岭', '傅', '咋', '牲', '顾', '菌', '项', '弹', '表', '烈']",八,且
22,温,氵,5.78060646936486,"('氺', '水', '氵')",[37568],1,e6b8a9,106,"['流', '滚', '混', '海', '滑', '没', '消', '沉', '清', '汗', '浮', '泊', '游', '浩', '深', '油', '激', '汇', '洪', '法', '浓', '泥', '泛', '洋', '波', '沃', '汉', '沙', '汤', '淘', '满', '济', '溪', '浜', '测', '浅', '浴', '漫', '泡', '注', '潮', '江', '洞', '淡', '津', '潜', '汽', '添', '河', '洗', '泄', '污', '活', '浪', '淫', '沿', '治', '渐', '渡', '演', '汁', '漂', '泳', '液', '润', '渠', '涯', '港', '湿', '沟', '涉', '池', '滤', '滴', '潭', '涨', '漏', '滋', '涩', '泽', '洁', '洲', '派', '洛', '湾', '涓', '浦', '澳', '沈', '澡', '滨', '潘', '涛', '湖', '源', '沁', '涵', '沪', '沢']",99,"['翌', '设', '榜', '透', '屋', '央', '写', '姓', '迅', '吹', '狐', '规', '私', '剧', '甚', '修', '却', '职', '摆', '贯', '今', '博', '跌', '邦', '蝶', '楼', '圈', '操', '紧', '避', '谱', '表', '吾', '百', '彻', '牲', '烈', '貌', '迈', '藤', '肯', '柴', '窍', '态', '五', '罪', '内', '幕', '健', '纸', '暂', '枪', '录', '缓', '赫', '软', '厘', '或', '俺', '命', '企', '擦', '改', '绘', '萝', '附', '夜', '链', '万', '肤', '半', '静', '歉', '售', '悠', '袋', '摇', '钢', '殖', '叶', '德', '钮', '疼', '绿', '绝', '虫', '室', '愿', '前', '魅', '卷', '学', '牌', '跑', '辞']",漫,楼
23,描,扌,3.65778344597658,"('扌', '手')",[44776],1,e68f8f,103,"['投', '打', '拓', '换', '撞', '折', '搜', '择', '掉', '授', '握', '探', '批', '拥', '接', '揭', '插', '拼', '措', '抽', '指', '损', '搏', '据', '抵', '持', '托', '报', '按', '招', '拖', '撤', '扑', '找', '播', '提', '扫', '抢', '扬', '摇', '担', '援', '扰', '操', '拔', '括', '推', '摄', '拍', '控', '才', '搞', '抗', '扎', '摆', '把', '扣', '执', '摘', '挂', '撮', '挥', '捕', '扶', '排', '搬', '搭', '拉', '抓', '披', '抱', '振', '护', '拘', '拒', '挺', '挑', '拾', '拆', '撒', '拟', '挡', '技', '挣', '押', '拨', '扩', '摸', '捷', '扒', '携', '擦', '撑', '揉', '撸']",95,"['瞬', '宠', '通', '元', '卧', '迹', '吧', '陷', '继', '卓', '桃', '柱', '李', '告', '减', '希', '碰', '过', '银', '乃', '殊', '荒', '足', '动', '删', '俊', '最', '爵', '维', '露', '功', '湖', '累', '荐', '影', '谨', '议', '骚', '卫', '咪', '芬', '佐', '页', '妻', '稿', '胜', '忘', '斗', '济', '充', '盾', '臀', '徒', '座', '川', '虚', '沢', '胞', '寸', '陶', '军', '中', '察', '载', '位', '妮', '者', '回', '邦', '曰', '坛', '嫩', '珠', '瓶', '剩', '赵', '罗', '脑', '木', '钻', '频', '鸭', '下', '顿', '踏', '省', '忠', '红', '眼', '歉', '奥', '河', '塑']",拆,骚
24,鬼,鬼,5.310782354780608,"('鬼',)",[71363],1,e9acbc,5,"['魔', '魂', '魏', '魅']",4,"['记', '辛', '须', '悦', '弱', '耳', '天', '匙', '品', '南', '洞', '哦', '称', '肯', '炎', '块', '州', '译', '代', '赌', '础', '性', '慈', '晨', '昭', '舒', '灾', '隐', '似', '泳', '伍', '傅', '倡', '破', '停', '堂', '胃', '产', '知', '邀', '名', '科', '候', '缴', '缘', '鲸', '疾', '举', '萨', '剪', '也', '眼', '坪', '保', '辨', '威', '找', '戴', '器', '阿', '某', '颖', '证', '频', '港', '严', '六', '疯', '望', '浩', '份', '军', '能', '列', '阅', '透', '湾', '曾', '诈', '吞', '量', '或', '暑', '国', '寒', '调', '旭', '沁', '故', '恢', '训', '钻', '她', '读', '几', '鹰', '些', '诀', '培', '患']",魔,疯
25,流,氵,6.119369076086114,"('氺', '水', '氵')",[15484],1,e6b581,106,"['温', '滚', '混', '海', '滑', '没', '消', '沉', '清', '汗', '浮', '泊', '游', '浩', '深', '油', '激', '汇', '洪', '法', '浓', '泥', '泛', '洋', '波', '沃', '汉', '沙', '汤', '淘', '满', '济', '溪', '浜', '测', '浅', '浴', '漫', '泡', '注', '潮', '江', '洞', '淡', '津', '潜', '汽', '添', '河', '洗', '泄', '污', '活', '浪', '淫', '沿', '治', '渐', '渡', '演', '汁', '漂', '泳', '液', '润', '渠', '涯', '港', '湿', '沟', '涉', '池', '滤', '滴', '潭', '涨', '漏', '滋', '涩', '泽', '洁', '洲', '派', '洛', '湾', '涓', '浦', '澳', '沈', '澡', '滨', '潘', '涛', '湖', '源', '沁', '涵', '沪', '沢']",99,"['喝', '梁', '郎', '扎', '页', '贤', '乱', '区', '古', '您', '客', '孔', '截', '斯', '云', '拾', '发', '尝', '光', '辣', '夕', '束', '是', '蓝', '备', '锋', '科', '样', '薪', '隔', '炮', '恋', '杨', '悉', '介', '数', '能', '粉', '干', '税', '凉', '经', '迟', '厅', '审', '业', '苍', '瓶', '礼', '获', '胞', '慢', '柳', '罗', '塑', '校', '与', '诱', '旭', '邮', '瓣', '迪', '帖', '栗', '京', '哥', '翌', '赠', '己', '扒', '笔', '辛', '炼', '绍', '供', '奉', '辑', '聪', '前', '尾', '芝', '库', '许', '璃', '触', '宫', '键', '袋', '聚', '窝', '铭', '零', '里', '析']",港,宫
