,language,tokenizer,word,suffix,word_final_token,group,both_pair,suffix_pair,neither_pair,dectile
52,Catalan,gpt4,tallant,ant,519,"['restant', 'ballant', 'menjant', 'cercant']",tallant,actuant,creades,7
53,Catalan,gpt4,tallat,at,266,"['gravat', 'cremat', 'pintat', 'cansat']",tallat,actuat,trenca,8
54,Catalan,gpt4,talla,a,64,"['calla', 'anima', 'multa', 'falla']",talla,droga,miren,8
55,Catalan,gpt4,tallava,ava,2979,"['causava', 'ballava', 'violava', 'operava']",tallava,penjava,estimin,2
56,Catalan,gpt4,talli,i,72,"['cursi', 'cremi', 'balli', 'signi']",talli,negui,vetes,2
57,Catalan,gpt4,revoltat,at,266,"['propagat', 'reportat', 'perforat', 'predicat']",revoltat,embarcat,contacti,2
58,Catalan,gpt4,barrat,at,266,"['opinat', 'multat', 'trenat', 'afinat']",barrat,xerrat,acosti,1
59,Catalan,gpt4,pentinat,at,266,"['emportat', 'arriscat', 'exagerat', 'acumulat']",pentinat,censurat,discutit,6
60,Catalan,gpt4,generant,ant,519,"['liderant', 'alarmant', 'iniciant', 'obligant']",generant,centrant,acumulen,5
61,Catalan,gpt4,generat,at,266,"['limitat', 'quadrat', 'ordenat', 'mostrat']",generat,centrat,escales,8
62,Catalan,gpt4,generen,en,268,"['superen', 'estimen', 'visiten', 'inicien']",generen,acosten,lamenta,7
63,Catalan,gpt4,practicat,at,266,"['segrestat', 'travessat', 'manipulat', 'analitzat']",practicat,renunciat,enamorada,6
64,Catalan,gpt4,escurçat,at,266,"['endreçat', 'deslligat', 'escanejat', 'manllevat']",escurçat,desxifrat,assegurin,1
65,Catalan,gpt4,casant,ant,519,"['notant', 'dinant', 'sopant', 'errant']",casant,guiant,aparca,3
66,Catalan,gpt4,casat,at,266,"['basat', 'jurat', 'donat', 'pagat']",casat,aviat,posem,9
67,Catalan,gpt4,casen,en,268,"['citen', 'fixen', 'manen', 'temen']",casen,tiren,gesta,5
68,Catalan,gpt4,casarà,à,6496,"['atorgà', 'nomenà', 'exilià', 'acordà']",casarà,viatjà,beneeix,1
69,Catalan,gpt4,cremant,ant,519,"['acabant', 'entrant', 'formant', 'vessant']",cremant,llevant,busques,8
70,Catalan,gpt4,cremat,at,266,"['llegat', 'causat', 'tallat', 'provat']",cremat,acusat,trenca,8
71,Catalan,gpt4,cremava,ava,2979,"['ballava', 'operava', 'violava', 'tallava']",cremava,penjava,predica,2
72,Catalan,gpt4,cremi,i,72,"['balli', 'cursi', 'signi', 'talli']",cremi,negui,olora,2
73,Catalan,gpt4,respecta,a,64,"['connecta', 'comporta', 'controla', 'conserva']",respecta,travessa,preparen,8
74,Catalan,gpt4,respecten,en,268,"['conformen', 'conserven', 'confirmen', 'controlen']",respecten,semblaven,obligades,7
75,Catalan,gpt4,afirmat,at,266,"['valorat', 'indicat', 'moderat', 'semblat']",afirmat,premiat,reunits,7
76,Catalan,gpt4,originat,at,266,"['lesionat', 'duplicat', 'retardat', 'deportat']",originat,retratat,tornaren,4
77,Catalan,gpt4,originà,à,6496,"['comentà', 'informà', 'recordà', 'editarà']",originà,rebutjà,excavats,0
78,Catalan,gpt4,mesurant,ant,519,"['aprovant', 'rodejant', 'devorant', 'ocultant']",mesurant,elogiant,esforça,2
79,Catalan,gpt4,despertin,in,258,"['paguessin', 'acabessin', 'aprofitin', 'entressin']",despertin,reuneixin,reprimint,2
80,Catalan,gpt4,cansant,ant,519,"['inflant', 'calmant', 'frenant', 'captant']",cansant,elevant,executi,1
81,Catalan,gpt4,cansat,at,266,"['editat', 'soldat', 'pintat', 'llegat']",cansat,acusat,revela,8
82,Catalan,gpt4,citat,at,266,"['fixat', 'parat', 'votat', 'jugat']",citat,aliat,alça,8
83,Catalan,gpt4,citen,en,268,"['fixen', 'temen', 'casen', 'manen']",citen,tiren,capta,5
84,Catalan,gpt4,caminarà,à,6496,"['renuncià', 'activarà', 'enfrontà', 'regalarà']",caminarà,plantejà,acrediten,0
85,Catalan,gpt4,menteixen,en,268,"['tornarien', 'recomanen', 'quedarien', 'convoquen']",menteixen,agradaven,expandeix,5
86,Catalan,gpt4,ingressen,en,268,"['denominen', 'processen', 'acceleren', 'dispersen']",ingressen,vigilaven,tripulant,1
87,Catalan,gpt4,saludant,ant,519,"['iniciant', 'generant', 'alarmant', 'obligant']",saludant,centrant,informin,5
88,Catalan,gpt4,saludat,at,266,"['laborat', 'simulat', 'relatat', 'alarmat']",saludat,usurpat,exploti,1
89,Catalan,gpt4,arrestat,at,266,"['integrat', 'recordat', 'elaborat', 'impulsat']",arrestat,capturat,obligats,8
90,Catalan,gpt4,rendeixen,en,268,"['encomanen', 'posseïen', 'pertoquen', 'despatxen']",rendeixen,apel·len,acomiadin,0
91,Catalan,gpt4,colla,a,64,"['torna', 'bomba', 'passa', 'cursa']",colla,situa,passi,9
92,Catalan,gpt4,pillat,at,266,"['frenat', 'inflat', 'tardat', 'voltat']",pillat,abusat,ignoro,3
93,Catalan,gpt4,convocat,at,266,"['esmentat', 'rebutjat', 'expulsat', 'envoltat']",convocat,anunciat,titulada,8
94,Catalan,gpt4,convoquen,en,268,"['tornarien', 'recomanen', 'quedarien', 'menteixen']",convoquen,desplacen,presidida,5
95,Catalan,gpt4,dediquen,en,268,"['indiquen', 'mereixen', 'coneixen', 'anomenen']",dediquen,celebren,planteja,8
96,Catalan,gpt4,dediquin,in,258,"['indiquin', 'emportin', 'perdonin', 'enganyin']",dediquin,arreglin,traçant,1
97,Catalan,gpt4,condensat,at,266,"['descansat', 'ocasionat', 'estressat', 'instaurat']",condensat,aclaparat,aprofità,1
98,Catalan,gpt4,gestionant,ant,519,"['intimidant', 'connectant', 'confirmant', 'conservant']",gestionant,exceptuant,provocaren,4
99,Catalan,gpt4,gestionen,en,268,"['alimenten', 'abandonen', 'expressen', 'comporten']",gestionen,plantegen,declarant,6
100,Catalan,gpt4,assabenten,en,268,"['aclareixen', 'insereixen', 'accedeixen', 'avorreixen']",assabenten,empitjoren,censurades,0
101,Catalan,gpt4,arriscant,ant,519,"['decantant', 'refredant', 'retratant', 'rescatant']",arriscant,insinuant,cobreixin,0
102,Catalan,gpt4,arriscat,at,266,"['espantat', 'exagerat', 'unificat', 'pentinat']",arriscat,censurat,guanyava,6
103,Catalan,gpt4,arrisquem,em,336,"['desplacem', 'arrenquem', 'provoquem', 'acabàvem']",arrisquem,viatjarem,acomodats,0
104,Catalan,gpt4,capa,a,64,"['mina', 'tapa', 'nega', 'fixa']",capa,pica,tesi,8
105,Catalan,gpt4,tardat,at,266,"['pillat', 'voltat', 'ferrat', 'cardat']",tardat,dubtat,presti,3
106,Catalan,gpt4,tarda,a,64,"['pensa', 'dansa', 'passa', 'torna']",tarda,parla,penso,9
107,Catalan,gpt4,reforma,a,64,"['disposa', 'resulta', 'publica', 'recorda']",reforma,provoca,buscant,9
108,Catalan,gpt4,vulnerat,at,266,"['liquidat', 'injectat', 'resignat', 'patentat']",vulnerat,remarcat,valorava,1
109,Catalan,gpt4,vulneren,en,268,"['negocien', 'financen', 'lamenten', 'exporten']",vulneren,efectuen,apartant,1
110,Catalan,gpt4,prohibeixen,en,268,"['assisteixen', 'protegeixen', 'reparteixen', 'signifiquen']",prohibeixen,encarreguen,distribuït,6
111,Catalan,gpt4,condemnant,ant,519,"['projectant', 'completant', 'coordinant', 'conversant']",condemnant,modificant,commemoren,3
112,Catalan,gpt4,ensorrat,at,266,"['rellevat', 'passejat', 'assentat', 'suportat']",ensorrat,triomfat,marxaran,3
113,Catalan,gpt4,afanyat,at,266,"['abordat', 'estafat', 'alegrat', 'alineat']",afanyat,elogiat,tanqueu,3
114,Catalan,gpt4,afanyem,em,336,"['ataquem', 'eduquem', 'netegem', 'queixem']",afanyem,patirem,adonava,1
115,Catalan,gpt4,afanyin,in,258,"['triguin', 'suposin', 'aportin', 'imposin']",afanyin,viatgin,plasmat,0
116,Catalan,gpt4,proveeixen,en,268,"['guanyarien', 'accedeixen', 'aclareixen', 'assabenten']",proveeixen,empitjoren,perllongat,0
117,Catalan,gpt4,tornant,ant,519,"['acabant', 'portant', 'formant', 'vessant']",tornant,llevant,declara,8
118,Catalan,gpt4,tornat,at,266,"['situat', 'pensat', 'passat', 'deixat']",tornat,enviat,aposta,9
119,Catalan,gpt4,torna,a,64,"['cursa', 'pensa', 'colla', 'dansa']",torna,ocupa,volen,9
120,Catalan,gpt4,tornen,en,268,"['formen', 'porten', 'passen', 'deixen']",tornen,queden,demana,9
121,Catalan,gpt4,tornarien,en,268,"['quedarien', 'convoquen', 'recomanen', 'menteixen']",tornarien,desplacen,congelats,5
122,Catalan,gpt4,declinat,at,266,"['emplenat', 'examinat', 'estampat', 'edificat']",declinat,reciclat,trencava,2
123,Catalan,gpt4,gravant,ant,519,"['signant', 'gastant', 'provant', 'salvant']",gravant,cobrant,complia,5
124,Catalan,gpt4,gravat,at,266,"['provat', 'pintat', 'cansat', 'llegat']",gravat,aturat,tocant,8
125,Catalan,gpt4,assimilat,at,266,"['abanderat', 'concretat', 'promulgat', 'propiciat']",assimilat,silenciat,atropella,2
126,Catalan,gpt4,explotant,ant,519,"['retallant', 'remuntant', 'estrenant', 'assetjant']",explotant,esborrant,creixerà,3
127,Catalan,gpt4,explotat,at,266,"['confinat', 'rescatat', 'escampat', 'arrencat']",explotat,arreglat,suposant,5
128,Catalan,gpt4,adverteixen,en,268,"['procedeixen', 'discuteixen', 'adquireixen', 'conflueixen']",adverteixen,simbolitzen,desenvolupi,4
129,Catalan,gpt4,provocat,at,266,"['recordat', 'executat', 'acceptat', 'integrat']",provocat,capturat,travessa,8
130,Catalan,gpt4,provoquem,em,336,"['arrenquem', 'acabàvem', 'arrisquem', 'desplacem']",provoquem,assolirem,alegrarà,0
131,Catalan,gpt4,opinat,at,266,"['afinat', 'multat', 'barrat', 'trenat']",opinat,xerrat,semblo,1
132,Catalan,gpt4,brindant,ant,519,"['exultant', 'agrupant', 'esgotant', 'atenuant']",brindant,aterrant,circulat,0
133,Catalan,gpt4,amaguem,em,336,"['marquem', 'creixem', 'acordem', 'llencem']",amaguem,vigilem,imposà,2
134,Catalan,gpt4,preocupen,en,268,"['respecten', 'controlen', 'conformen', 'augmenten']",preocupen,semblaven,conservat,7
135,Catalan,gpt4,consta,a,64,"['exposa', 'supera', 'revela', 'obliga']",consta,deriva,acusat,8
136,Catalan,gpt4,aprovant,ant,519,"['sufocant', 'ajuntant', 'devorant', 'atorgant']",aprovant,elogiant,edificat,2
137,Catalan,gpt4,vinculat,at,266,"['millorat', 'estrenat', 'consolat', 'enfonsat']",vinculat,allunyat,suposada,7
138,Catalan,gpt4,reeditat,at,266,"['sepultat', 'escanyat', 'degollat', 'arrissat']",reeditat,empedrat,emportà,1
139,Catalan,gpt4,disputant,ant,519,"['alternant', 'explorant', 'executant', 'inspirant']",disputant,indignant,constatat,4
140,Catalan,gpt4,disputat,at,266,"['detectat', 'comparat', 'criticat', 'observat']",disputat,reclamat,acabaria,7
141,Catalan,gpt4,disputà,à,6496,"['informà', 'originà', 'recordà', 'inspirà']",disputà,rebutjà,enterrem,0
142,Catalan,gpt4,aclareixen,en,268,"['avorreixen', 'guanyarien', 'accedeixen', 'assabenten']",aclareixen,empitjoren,construïa,0
143,Catalan,gpt4,celebrat,at,266,"['disposat', 'preparat', 'publicat', 'declarat']",celebrat,escoltat,semblant,9
144,Catalan,gpt4,alertat,at,266,"['nominat', 'ignorat', 'vigilat', 'agregat']",alertat,mesurat,educada,5
145,Catalan,gpt4,lamenten,en,268,"['negocien', 'exporten', 'financen', 'vulneren']",lamenten,situaven,tallaran,1
146,Catalan,gpt4,lamentava,ava,2979,"['exportava', 'importava', 'respirava', 'observava']",lamentava,planejava,frustrats,3
147,Catalan,gpt4,adoptant,ant,519,"['separant', 'valorant', 'debutant', 'activant']",adoptant,recitant,intentin,3
148,Catalan,gpt4,adoptat,at,266,"['decorat', 'liderat', 'esperat', 'mostrat']",adoptat,centrat,quedava,8
149,Catalan,gpt4,reparteixen,en,268,"['protegeixen', 'signifiquen', 'prohibeixen', 'justifiquen']",reparteixen,encarreguen,construïts,6
150,Catalan,gpt4,estampat,at,266,"['declinat', 'edificat', 'tripulat', 'examinat']",estampat,reciclat,aportada,2
151,Catalan,gpt4,tripulat,at,266,"['culminat', 'emplenat', 'estampat', 'edificat']",tripulat,reciclat,ataqués,2
152,Catalan,gpt4,envelleixen,en,268,"['presideixen', 'precedeixen', 'corregeixen', 'promocionen']",envelleixen,amenaçaven,refrescarà,0
153,Catalan,gpt4,indignat,at,266,"['retornat', 'fabricat', 'combinat', 'designat']",indignat,torturat,derivada,6
154,Catalan,gpt4,indigna,a,64,"['exporta', 'insulta', 'inventa', 'elabora']",indigna,revenja,pagades,5
155,Catalan,gpt4,escoltava,ava,2979,"['anomenava', 'estudiava', 'circulava', 'ensenyava']",escoltava,desitjava,tornarien,5
156,Catalan,gpt4,guanyarien,en,268,"['assabenten', 'accedeixen', 'proveeixen', 'insereixen']",guanyarien,empitjoren,desmuntada,0
157,Catalan,gpt4,empatat,at,266,"['ratllat', 'ajornat', 'denegat', 'arxivat']",empatat,assecat,mancava,4
158,Catalan,gpt4,inspirant,ant,519,"['humiliant', 'alternant', 'disputant', 'executant']",inspirant,indignant,recordada,4
159,Catalan,gpt4,inspirat,at,266,"['arrestat', 'comentat', 'destinat', 'proposat']",inspirat,enterrat,confirma,8
160,Catalan,gpt4,inspirà,à,6496,"['disputà', 'originà', 'editarà', 'recordà']",inspirà,rebutjà,proveint,0
161,Catalan,gpt4,disfrutat,at,266,"['divorciat', 'assimilat', 'codificat', 'propiciat']",disfrutat,silenciat,despertes,2
162,Catalan,gpt4,cultivat,at,266,"['exportat', 'predicat', 'propagat', 'perforat']",cultivat,embarcat,escapant,2
163,Catalan,gpt4,vessant,ant,519,"['entrant', 'formant', 'cremant', 'acabant']",vessant,enviant,accepta,8
164,Catalan,gpt4,sona,a,64,"['mena', 'basa', 'mira', 'tria']",sona,paga,doni,9
165,Catalan,gpt4,assisteixen,en,268,"['reparteixen', 'justifiquen', 'signifiquen', 'prohibeixen']",assisteixen,encarreguen,desplaçats,6
166,Catalan,gpt4,esmentat,at,266,"['rebutjat', 'defensat', 'envoltat', 'atemptat']",esmentat,anunciat,anomenen,8
167,Catalan,gpt4,esmenten,en,268,"['escalfen', 'atempten', 'assequen', 'enfonsen']",esmenten,amagaven,recorria,2
168,Catalan,gpt4,donat,at,266,"['posat', 'pagat', 'basat', 'casat']",donat,aviat,corda,9
169,Catalan,gpt4,donarien,en,268,"['rescaten', 'escampen', 'afronten', 'barregen']",donarien,empraven,penjades,4
170,Catalan,gpt4,ballant,ant,519,"['menjant', 'causant', 'saltant', 'tallant']",ballant,actuant,doctora,7
171,Catalan,gpt4,ballat,at,266,"['tastat', 'captat', 'contat', 'dictat']",ballat,mancat,motiva,5
172,Catalan,gpt4,ballada,ada,2649,"['callada', 'violada', 'fallada', 'variada']",ballada,creuada,mirarem,5
173,Catalan,gpt4,balla,a,64,"['edita', 'signa', 'viola', 'borda']",balla,penja,ments,7
174,Catalan,gpt4,ballen,en,268,"['operen', 'signen', 'gasten', 'causen']",ballen,empren,robant,6
175,Catalan,gpt4,ballava,ava,2979,"['gastava', 'operava', 'causava', 'cremava']",ballava,penjava,mereixo,2
176,Catalan,gpt4,balli,i,72,"['cremi', 'talli', 'cursi', 'signi']",balli,negui,sopen,2
177,Catalan,gpt4,esperat,at,266,"['adoptat', 'comptat', 'exposat', 'retirat']",esperat,centrat,observa,8
178,Catalan,gpt4,cuidant,ant,519,"['follant', 'tombant', 'operant', 'firmant']",cuidant,cuinant,entrés,4
179,Catalan,gpt4,cuidat,at,266,"['variat', 'violat', 'cessat', 'firmat']",cuidat,somiat,gambes,6
180,Catalan,gpt4,cuida,a,64,"['funda', 'lleva', 'eleva', 'renta']",cuida,varia,durat,6
181,Catalan,gpt4,cuidi,i,72,"['animi', 'falli', 'llevi', 'resti']",cuidi,abusi,creeu,1
182,Catalan,gpt4,regenerat,at,266,"['enquadrat', 'rebatejat', 'ressaltat', 'endevinat']",regenerat,engrescat,enviessin,0
183,Catalan,gpt4,convidava,ava,2979,"['castigava', 'remarcava', 'suportava', 'assaltava']",convidava,sacsejava,preguntà,0
184,Catalan,gpt4,encantat,at,266,"['planejat', 'expulsat', 'rebutjat', 'atemptat']",encantat,anunciat,trobaven,8
185,Catalan,gpt4,preguntà,à,6496,"['enfrontà', 'renovarà', 'exposarà', 'indicarà']",preguntà,plantejà,esquivant,0
186,Catalan,gpt4,alternant,ant,519,"['executant', 'reservant', 'disputant', 'humiliant']",alternant,indignant,revoltats,4
187,Catalan,gpt4,sufocant,ant,519,"['rodejant', 'ajuntant', 'titllant', 'atorgant']",sufocant,desviant,penjaré,2
188,Catalan,gpt4,disposant,ant,519,"['calculant', 'predicant', 'frustrant', 'dialogant']",disposant,suplicant,funcionin,3
189,Catalan,gpt4,disposat,at,266,"['intentat', 'publicat', 'preparat', 'declarat']",disposat,escoltat,conversa,9
190,Catalan,gpt4,disposa,a,64,"['informa', 'reforma', 'proposa', 'intenta']",disposa,encanta,pensava,9
191,Catalan,gpt4,mina,a,64,"['tapa', 'capa', 'nega', 'fina']",mina,cova,miro,8
192,Catalan,gpt4,resignat,at,266,"['penetrat', 'vulnerat', 'patentat', 'liquidat']",resignat,perdurat,animades,1
193,Catalan,gpt4,frustrant,ant,519,"['calculant', 'retornant', 'imaginant', 'respirant']",frustrant,suplicant,importava,3
194,Catalan,gpt4,frustrat,at,266,"['insultat', 'calculat', 'negociat', 'humiliat']",frustrat,molestat,alarmant,5
195,Catalan,gpt4,embolicat,at,266,"['descartat', 'ratificat', 'delimitat', 'verificat']",embolicat,consagrat,quedarien,5
196,Catalan,gpt4,consolat,at,266,"['derrotat', 'millorat', 'enfonsat', 'enganyat']",consolat,esborrat,comencin,7
197,Catalan,gpt4,rodejant,ant,519,"['titllant', 'devorant', 'mesurant', 'sufocant']",rodejant,elogiant,restarà,2
198,Catalan,gpt4,procedeixen,en,268,"['adquireixen', 'conflueixen', 'discuteixen', 'adverteixen']",procedeixen,simbolitzen,assabentés,4
199,Catalan,gpt4,degradat,at,266,"['apoderat', 'explotat', 'confinat', 'refredat']",degradat,apreciat,foradada,5
200,Catalan,gpt4,explorant,ant,519,"['humiliant', 'disputant', 'combinant', 'inspirant']",explorant,indignant,descansen,4
201,Catalan,gpt4,dinant,ant,519,"['fixant', 'errant', 'pegant', 'sopant']",dinant,guiant,vestia,3
202,Catalan,gpt4,dinat,at,266,"['segat', 'calat', 'girat', 'errat']",dinat,rodat,adoni,5
203,Catalan,gpt4,escapant,ant,519,"['reparant', 'irritant', 'escalant', 'excitant']",escapant,remenant,reportat,2
204,Catalan,gpt4,escapen,en,268,"['habiten', 'exposen', 'limiten', 'dominen']",escapen,jugaven,elegida,6
205,Catalan,gpt4,retallant,ant,519,"['barallant', 'explotant', 'allargant', 'assaltant']",retallant,esborrant,dissenyen,3
206,Catalan,gpt4,retallat,at,266,"['confinat', 'arrencat', 'perdonat', 'explotat']",retallat,apreciat,exhibeix,5
207,Catalan,gpt4,colat,at,266,"['dinat', 'manat', 'errat', 'visat']",colat,guiat,dubta,5
208,Catalan,gpt4,colo,o,78,"['vano', 'peto', 'sumo', 'salo']",colo,cito,basi,1
209,Catalan,gpt4,jugat,at,266,"['matat', 'mirat', 'fixat', 'robat']",jugat,tocat,dubto,8
210,Catalan,gpt4,regalant,ant,519,"['agradant', 'sembrant', 'avaluant', 'lliscant']",regalant,somniant,millorem,3
211,Catalan,gpt4,regalarà,à,6496,"['indicarà', 'caminarà', 'preguntà', 'exposarà']",regalarà,plantejà,ajudarien,0
212,Catalan,gpt4,formulat,at,266,"['patentat', 'penetrat', 'liquidat', 'injectat']",formulat,remarcat,pregaria,1
213,Catalan,gpt4,rellevat,at,266,"['escalfat', 'assentat', 'passejat', 'fomentat']",rellevat,triomfat,enfilant,3
214,Catalan,gpt4,planejant,ant,519,"['assetjant', 'remuntant', 'retallant', 'explotant']",planejant,esborrant,recaptats,3
215,Catalan,gpt4,planejat,at,266,"['convocat', 'ensenyat', 'expulsat', 'defensat']",planejat,anunciat,titulada,8
216,Catalan,gpt4,resulta,a,64,"['informa', 'reforma', 'importa', 'proposa']",resulta,encanta,parlant,9
217,Catalan,gpt4,instaurat,at,266,"['estressat', 'ocasionat', 'descansat', 'condensat']",instaurat,aclaparat,lluitaria,1
218,Catalan,gpt4,fina,a,64,"['nega', 'fixa', 'tapa', 'mina']",fina,tira,miro,8
219,Catalan,gpt4,pensat,at,266,"['acabat', 'entrat', 'quedat', 'portat']",pensat,enviat,acaben,9
220,Catalan,gpt4,pensa,a,64,"['tomba', 'colla', 'passa', 'bomba']",pensa,tanca,parlo,9
221,Catalan,gpt4,pensen,en,268,"['tornen', 'formen', 'porten', 'passen']",pensen,parlen,corona,9
222,Catalan,gpt4,remant,ant,519,"['curant', 'petant', 'dotant', 'besant']",remant,odiant,reuní,1
223,Catalan,gpt4,travessat,at,266,"['segrestat', 'analitzat', 'manipulat', 'enfrontat']",travessat,renunciat,encertada,6
224,Catalan,gpt4,condecorat,at,266,"['traspassat', 'crucificat', 'pressionat', 'solucionat']",condecorat,enderrocat,desmenteix,5
225,Catalan,gpt4,passejat,at,266,"['ensorrat', 'encallat', 'decretat', 'suportat']",passejat,triomfat,mereixeu,3
